"Região/UF Res.""";1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
Região Norte;0;0;1;1;4;20;39;62;80;133;180;215;312;372;451;573;695;785;908;1251;1544;1593;2116;2099;2235;2506;3111;3164;3441;3452;3527;4318;4486;4205;1802;49681
.. Rondônia;0;0;0;0;0;3;3;2;7;3;18;17;43;56;51;69;87;76;141;149;201;204;211;240;295;298;281;271;303;373;371;438;414;354;130;5109
.. Acre;0;0;0;0;0;3;2;4;2;7;5;7;8;1;6;10;18;25;23;31;47;34;57;54;35;59;63;37;62;74;71;68;72;68;31;984
.. Amazonas;0;0;0;0;1;4;10;16;24;36;52;56;84;92;114;176;217;282;302;370;465;417;561;640;690;717;965;1072;1124;1086;1072;1379;1543;1227;523;15317
.. Roraima;0;0;0;0;0;1;1;7;6;13;6;5;7;8;17;15;20;24;52;53;34;94;117;70;76;118;162;150;164;136;137;155;146;142;76;2012
.. Pará;0;0;1;1;3;9;20;31;34;63;86;116;146;177;220;240;284;290;298;536;637;709;1001;939;930;1110;1400;1363;1520;1449;1509;1824;1904;2057;862;21769
.. Amapá;0;0;0;0;0;0;3;2;1;3;7;1;6;16;19;31;22;39;34;49;76;49;69;75;90;112;111;113;122;146;163;200;188;139;101;1987
.. Tocantins;0;0;0;0;0;0;0;0;6;8;6;13;18;22;24;32;47;49;58;63;84;86;100;81;119;92;129;158;146;188;204;254;219;218;79;2503
Região Nordeste;1;4;4;28;55;172;256;446;596;833;1009;1224;1398;1573;1991;2308;2832;2815;3383;3726;4732;4815;5551;6073;5762;6607;7161;7475;7692;8097;8494;9033;8809;8670;3491;127116
.. Maranhão;0;0;0;5;2;8;11;29;53;68;80;108;123;143;184;195;277;265;330;351;394;487;725;691;723;789;879;1049;1072;1248;1194;1394;1354;1476;548;16255
.. Piauí;0;0;0;0;2;9;14;12;20;33;28;29;67;76;77;95;98;107;169;162;191;193;326;334;270;329;337;405;379;375;482;480;482;404;194;6179
.. Ceará;1;1;0;6;9;13;29;55;70;126;173;180;213;290;301;355;602;539;548;634;737;814;943;822;828;1104;1099;1157;1088;1169;1329;1259;1276;1272;537;19579
.. Rio Grande do Norte;0;1;1;0;3;14;10;21;27;49;33;71;87;70;104;130;172;126;174;168;167;197;153;350;278;351;353;392;359;414;432;527;544;483;235;6496
.. Paraíba;0;0;0;6;3;13;11;18;44;62;63;88;112;118;125;150;185;241;242;243;298;298;353;356;333;355;403;423;437;440;476;450;484;557;185;7572
.. Pernambuco;0;2;1;8;15;67;89;165;182;220;253;311;348;392;551;576;755;655;762;953;1243;1165;1301;1696;1497;1628;1667;1604;1838;1796;1981;2052;1976;1775;679;30203
.. Alagoas;0;0;0;0;0;0;0;0;31;36;58;74;70;82;104;137;110;130;147;211;236;258;215;295;263;310;405;379;376;435;424;438;448;426;197;6295
.. Sergipe;0;0;0;0;0;8;17;15;19;25;46;47;79;81;78;97;96;106;117;93;130;163;158;174;195;239;321;255;280;307;267;319;306;384;157;4579
