"Município (Res)";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Total"
"110001 Alta Floresta D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;2;0;0;0;3;1;2;1;0;0;13
"110037 Alto Alegre dos Parecis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;1;0;0;0;6
"110040 Alto Paraíso";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;1;4;3;4;2;3;1;1;1;0;27
"110034 Alvorada D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;3;1;0;0;2;1;10
"110002 Ariquemes";0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;1;0;4;3;4;10;7;14;15;13;15;11;15;19;43;29;23;19;23;7;281
"110045 Buritis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2;0;5;4;2;1;1;3;7;2;3;0;37
"110003 Cabixi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
"110060 Cacaulândia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;5
"110004 Cacoal";0;0;0;0;0;0;0;0;0;0;1;0;2;8;0;4;4;0;6;2;4;8;13;12;15;4;3;10;10;9;5;7;15;11;4;157
"110070 Campo Novo de Rondônia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;4;2;2;1;1;0;0;1;0;0;15
"110080 Candeias do Jamari";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;2;3;3;8;5;8;2;3;6;4;7;11;1;4;74
"110090 Castanheiras";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;5
"110005 Cerejeiras";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;4;2;1;0;2;8;2;4;3;31
"110092 Chupinguaia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2;1;4;3;1;2;2;0;18
"110006 Colorado do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;4;0;2;4;3;0;2;4;2;1;1;0;27
"110007 Corumbiara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;6
"110008 Costa Marques";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;0;1;2;2;0;0;1;0;2;1;2;1;2;0;20
"110094 Cujubim";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;2;0;1;0;2;2;1;5;0;17
"110009 Espigão D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;2;1;2;0;3;1;1;2;1;4;1;1;1;25
"110100 Governador Jorge Teixeira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;5
"110010 Guajará-Mirim";0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;1;2;1;2;3;3;2;5;7;8;8;11;5;12;6;9;8;10;108
"110110 Itapuã do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;3;0;6
"110011 Jaru";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;3;1;3;3;8;3;6;6;3;1;1;10;2;6;5;3;68
"110012 Ji-Paraná";0;0;0;0;0;0;0;0;0;0;2;1;1;2;2;5;2;1;9;8;14;14;15;10;23;19;21;25;24;29;27;25;19;25;8;331
"110013 Machadinho D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;3;1;4;4;1;0;4;2;0;0;23
"110120 Ministro Andreazza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;7
"110130 Mirante da Serra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;2;0;0;0;0;0;1;0;8
"110140 Monte Negro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;2;1;1;2;0;1;4;1;1;0;18
"110014 Nova Brasilândia D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;1;6;3;1;3;0;0;4;0;2;0;0;0;25
"110033 Nova Mamoré";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;3;2;0;1;0;2;5;2;5;3;4;31
"110143 Nova União";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;1;6
"110015 Ouro Preto do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;6;2;2;9;3;5;1;6;2;3;13;3;2;2;62
"110145 Parecis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"110018 Pimenta Bueno";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;2;5;1;2;4;1;3;2;5;2;6;4;7;1;3;4;9;1;67
"110146 Pimenteiras do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"110020 Porto Velho";0;0;0;0;0;2;2;2;7;2;13;14;32;29;32;47;59;50;97;103;138;113;103;122;159;162;163;142;183;194;229;280;277;224;71;3051
"110025 Presidente Médici";0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;2;2;0;1;2;3;1;1;2;3;7;1;4;1;0;0;3;3;4;2;47
"110147 Primavera de Rondônia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
"110026 Rio Crespo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;4
"110028 Rolim de Moura";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6;8;4;5;2;6;7;3;2;7;8;4;0;6;6;1;78
"110029 Santa Luzia D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;3;1;0;0;0;0;0;0;0;0;7
"110148 São Felipe D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"110149 São Francisco do Guaporé";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;5
"110032 São Miguel do Guaporé";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;5
"110150 Seringueiras";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;3
"110155 Teixeirópolis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;1;0;0;0;0;0;6
"110160 Theobroma";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;4
"110170 Urupá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;5
"110175 Vale do Anari";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"110180 Vale do Paraíso";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
"110030 Vilhena";0;0;0;0;0;0;1;0;0;0;1;0;2;10;8;5;9;13;8;9;5;18;24;27;27;28;17;16;14;38;12;24;14;3;5;338
"110000 Município ignorado - RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;5
"120001 Acrelândia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;3;2;2;1;2;0;2;0;15
"120005 Assis Brasil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;5
"120010 Brasiléia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;1;0;1;1;1;0;1;2;2;0;1;0;15
"120013 Bujari";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;4
"120017 Capixaba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;2;1;7
"120020 Cruzeiro do Sul";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;3;0;0;0;2;2;1;1;1;2;3;1;2;3;5;2;31
"120025 Epitaciolândia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;1;2;0;0;2;10
"120033 Mâncio Lima";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
"120034 Manoel Urbano";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;4;2;3;3;3;2;0;1;0;0;21
"120035 Marechal Thaumaturgo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"120038 Plácido de Castro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;0;0;0;0;1;0;0;2;0;3;2;1;0;14
"120080 Porto Acre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;5
"120039 Porto Walter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"120040 Rio Branco";0;0;0;0;0;3;2;4;2;7;4;6;7;1;3;10;13;23;19;22;40;33;50;46;30;49;49;26;39;50;55;47;53;47;21;761
"120042 Rodrigues Alves";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;4
"120043 Santa Rosa do Purus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"120050 Sena Madureira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;6;3;7;6;5;3;4;3;2;44
"120045 Senador Guiomard";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;2;1;1;4;1;0;0;1;0;3;3;1;3;2;3;1;30
"120060 Tarauacá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;4
"120070 Xapuri";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;2;0;1;9
"130002 Alvarães";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3
"130006 Amaturá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;2;1;1;2;0;10
"130008 Anamã";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2
"130010 Anori";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;4
"130014 Apuí";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;2;1;0;1;1;2;3;6;6;2;28
"130020 Atalaia do Norte";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;1;0;1;0;0;1;3;1;1;0;0;0;14
"130030 Autazes";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;2;0;2;0;2;2;6;2;2;8;2;1;33
"130040 Barcelos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;4;2;1;0;10
"130050 Barreirinha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;1;0;0;0;0;5;0;2;2;2;2;4;22
"130060 Benjamin Constant";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;3;0;1;4;5;2;6;6;18;11;9;9;13;3;0;93
"130063 Beruri";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;0;0;8
"130068 Boa Vista do Ramos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;4;0;0;8
"130070 Boca do Acre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;2;1;1;1;2;0;11
"130080 Borba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;3;4;1;6;6;8;7;1;45
"130083 Caapiranga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;3
"130090 Canutama";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;4
"130100 Carauari";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;4;1;1;0;14
"130110 Careiro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;2;1;1;4;3;5;3;1;3;4;32
"130115 Careiro da Várzea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;2;2;2;3;2;0;14
"130120 Coari";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;1;1;1;1;2;2;4;4;1;8;9;9;6;7;6;3;70
"130130 Codajás";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;3;1;10
"130140 Eirunepé";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;3;0;0;2;0;1;1;4;1;0;0;17
"130150 Envira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"130160 Fonte Boa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;1;0;1;5;2;3;1;18
"130170 Humaitá";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;1;1;3;3;4;5;5;5;6;6;7;15;11;4;81
