"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"110001 Alta Floresta D'Oeste";0;2;2;4;1;1;0;0;0;0;10
"110037 Alto Alegre dos Parecis";0;1;0;1;0;1;0;0;0;1;4
"110040 Alto Paraíso";1;4;2;10;0;0;1;0;0;2;20
"110034 Alvorada D'Oeste";1;2;0;1;0;1;0;0;0;0;5
"110002 Ariquemes";14;48;15;59;16;21;26;8;3;5;215
"110045 Buritis";1;9;1;10;0;2;1;0;0;1;25
"110003 Cabixi";0;1;0;1;0;1;0;0;0;0;3
"110060 Cacaulândia";0;1;1;1;0;0;0;0;0;0;3
"110004 Cacoal";3;18;7;43;10;21;10;8;6;2;128
"110070 Campo Novo de Rondônia";0;2;0;4;1;0;1;0;0;2;10
"110080 Candeias do Jamari";6;16;2;13;2;6;4;1;2;2;54
"110090 Castanheiras";1;1;0;0;0;1;0;0;0;0;3
"110005 Cerejeiras";2;6;4;9;3;1;0;0;0;0;25
"110092 Chupinguaia";1;5;2;2;2;0;0;1;0;0;13
"110006 Colorado do Oeste";1;11;3;3;1;1;2;0;0;0;22
"110007 Corumbiara";0;3;0;1;1;0;0;0;0;0;5
"110008 Costa Marques";0;4;1;2;0;4;0;0;1;1;13
"110094 Cujubim";1;5;1;6;0;0;0;0;0;0;13
"110009 Espigão D'Oeste";0;0;3;5;0;2;2;1;0;1;14
"110100 Governador Jorge Teixeira";1;1;0;0;0;1;0;0;0;0;3
"110010 Guajará-Mirim";0;12;8;21;5;6;11;2;4;3;72
"110110 Itapuã do Oeste";1;0;0;3;0;0;0;1;0;0;5
"110011 Jaru";3;11;3;11;3;6;3;0;1;1;42
"110012 Ji-Paraná";12;26;8;61;11;23;19;2;8;1;171
"110013 Machadinho D'Oeste";2;6;0;4;1;3;1;0;0;0;17
"110120 Ministro Andreazza";0;4;1;0;1;1;0;0;0;0;7
"110130 Mirante da Serra";0;1;0;2;1;0;0;0;0;0;4
"110140 Monte Negro";0;3;0;3;0;0;4;0;0;1;11
"110014 Nova Brasilândia D'Oeste";1;6;1;6;1;1;1;0;0;1;18
"110033 Nova Mamoré";2;6;3;8;0;1;2;0;0;0;22
"110143 Nova União";0;0;0;2;0;0;0;0;1;0;3
"110015 Ouro Preto do Oeste";3;5;2;14;4;1;1;1;4;1;36
"110145 Parecis";0;0;0;1;0;0;0;0;0;0;1
"110018 Pimenta Bueno";2;9;0;6;2;4;4;0;2;1;30
"110146 Pimenteiras do Oeste";0;1;0;0;0;0;0;0;0;0;1
"110020 Porto Velho";108;329;121;635;94;304;343;90;159;34;2217
"110025 Presidente Médici";1;9;3;12;2;3;1;0;0;0;31
"110026 Rio Crespo";0;1;0;0;0;0;1;0;0;0;2
"110028 Rolim de Moura";2;9;4;16;3;5;4;2;1;1;47
"110029 Santa Luzia D'Oeste";0;4;0;1;1;0;0;0;0;0;6
"110148 São Felipe D'Oeste";0;0;0;1;0;0;0;0;1;0;2
"110149 São Francisco do Guaporé";0;0;0;1;0;0;0;0;0;0;1
"110032 São Miguel do Guaporé";0;1;0;1;1;0;0;0;0;0;3
"110150 Seringueiras";0;1;0;1;0;0;0;0;0;0;2
"110155 Teixeirópolis";0;2;3;0;1;0;0;0;0;0;6
"110160 Theobroma";0;0;1;1;1;0;0;0;0;0;3
"110170 Urupá";1;0;1;1;0;0;0;0;0;0;3
"110180 Vale do Paraíso";1;0;0;0;0;0;0;0;0;0;1
"110030 Vilhena";11;71;42;88;21;28;16;4;6;1;288
"110000 Município ignorado - RO";0;0;0;2;0;1;0;0;1;0;4
"120001 Acrelândia";2;2;0;4;0;2;1;0;0;0;11
"120005 Assis Brasil";0;0;0;0;1;0;0;0;0;0;1
"120010 Brasiléia";1;1;0;2;2;3;2;0;1;1;13
"120013 Bujari";0;1;0;1;0;0;0;0;0;0;2
"120017 Capixaba";0;2;0;0;0;1;0;0;0;0;3
"120020 Cruzeiro do Sul";2;2;0;4;1;3;5;0;3;0;20
"120025 Epitaciolândia";1;1;0;1;0;0;1;0;2;0;6
"120033 Mâncio Lima";0;0;0;0;0;1;0;0;0;0;1
"120034 Manoel Urbano";1;4;1;3;0;2;3;1;2;1;18
"120035 Marechal Thaumaturgo";1;0;0;0;0;0;0;0;0;0;1
"120038 Plácido de Castro";1;2;3;3;1;1;0;0;0;1;12
"120080 Porto Acre";1;0;0;1;0;1;0;0;1;0;4
"120039 Porto Walter";0;0;0;0;0;0;0;0;0;1;1
"120040 Rio Branco";34;79;16;156;44;97;90;15;54;14;599
"120042 Rodrigues Alves";2;0;0;0;0;1;0;0;0;0;3
"120050 Sena Madureira";1;5;0;9;2;2;8;1;3;1;32
"120045 Senador Guiomard";1;3;0;9;4;4;2;0;0;0;23
"120060 Tarauacá";1;0;0;0;0;0;1;0;1;0;3
"120070 Xapuri";2;1;1;1;0;0;2;0;0;0;7
"130002 Alvarães";0;1;0;0;0;0;0;0;0;0;1
"130006 Amaturá";0;0;0;2;1;1;0;0;0;0;4
"130010 Anori";0;0;0;0;0;1;0;0;1;0;2
"130014 Apuí";3;8;1;1;2;0;2;0;1;0;18
"130020 Atalaia do Norte";0;1;1;2;1;1;0;0;0;2;8
"130030 Autazes";1;3;0;4;2;3;0;0;0;0;13
"130040 Barcelos";0;0;1;4;0;0;1;0;0;0;6
"130050 Barreirinha";1;2;0;1;2;0;4;1;0;1;12
"130060 Benjamin Constant";4;14;5;17;6;6;8;2;1;0;63
"130063 Beruri";0;1;0;1;0;0;0;0;0;0;2
"130068 Boa Vista do Ramos";0;0;0;0;0;0;3;0;1;0;4
"130070 Boca do Acre";0;0;0;3;0;1;2;0;0;0;6
"130080 Borba";2;0;2;7;2;1;2;0;3;0;19
"130083 Caapiranga";0;0;0;2;0;0;0;0;0;1;3
"130090 Canutama";0;0;0;2;0;0;1;0;0;0;3
"130100 Carauari";1;1;0;4;0;1;0;0;0;0;7
"130110 Careiro";1;5;0;4;2;0;2;0;0;0;14
"130115 Careiro da Várzea";0;0;0;6;0;0;0;1;0;0;7
"130120 Coari";2;4;1;9;1;5;4;1;0;1;28
"130130 Codajás";0;1;0;2;1;0;1;1;0;0;6
"130140 Eirunepé";1;0;0;6;0;0;1;0;0;1;9
"130150 Envira";0;0;0;1;0;0;0;0;0;0;1
"130160 Fonte Boa";1;1;0;4;0;0;0;0;0;2;8
"130170 Humaitá";9;14;3;19;3;7;10;0;2;1;68
"130185 Iranduba";1;9;5;12;2;7;1;0;0;1;38
"130190 Itacoatiara";1;6;4;41;6;17;15;3;2;3;98
"130195 Itamarati";0;0;0;0;0;1;0;0;0;1;2
"130200 Itapiranga";0;1;0;2;0;0;0;0;0;0;3
"130210 Japurá";0;1;0;0;0;3;0;0;0;0;4
"130230 Jutaí";0;1;0;0;0;0;0;0;1;0;2
"130240 Lábrea";1;1;0;0;2;2;1;1;0;0;8
"130250 Manacapuru";3;12;1;24;4;7;13;3;2;2;71
"130255 Manaquiri";0;3;1;7;1;1;0;0;0;0;13
"130260 Manaus";103;654;86;1513;320;1104;1056;357;475;181;5849
"130270 Manicoré";4;5;1;9;1;1;0;0;2;2;25
"130280 Maraã";0;0;1;0;1;2;1;0;1;0;6
"130290 Maués";0;6;0;10;2;5;12;2;0;1;38
"130300 Nhamundá";0;0;0;1;0;0;1;0;0;0;2
"130310 Nova Olinda do Norte";1;0;1;3;0;0;0;0;0;0;5
"130320 Novo Airão";2;1;1;6;0;1;2;1;0;1;15
"130330 Novo Aripuanã";0;2;0;2;0;0;2;1;0;0;7
"130340 Parintins";7;25;14;72;12;25;31;4;6;3;199
"130353 Presidente Figueiredo";3;3;1;9;3;5;1;0;0;3;28
"130356 Rio Preto da Eva";2;5;1;10;2;3;2;1;0;3;29
"130360 Santa Isabel do Rio Negro";0;0;0;1;0;0;0;0;0;0;1
"130370 Santo Antônio do Içá";1;2;0;1;0;2;1;0;0;1;8
"130380 São Gabriel da Cachoeira";0;0;1;0;0;3;1;0;1;0;6
"130390 São Paulo de Olivença";0;1;1;6;3;3;1;1;0;0;16
"130395 São Sebastião do Uatumã";1;0;0;0;0;0;0;0;0;0;1
"130400 Silves";1;0;0;3;0;0;0;0;0;0;4
"130406 Tabatinga";6;24;13;31;11;19;10;1;2;9;126
"130420 Tefé";4;5;2;38;11;7;7;2;2;1;79
"130423 Tonantins";0;0;1;2;0;0;1;0;0;0;4
"130426 Uarini";0;0;0;2;1;1;0;1;0;0;5
"130430 Urucará";0;1;0;1;0;0;1;0;0;1;4
"130440 Urucurituba";0;1;0;3;0;2;4;0;0;2;12
"130000 Município ignorado - AM";0;0;0;0;0;1;0;0;0;1;2
"140005 Alto Alegre";0;2;0;2;0;0;2;0;0;0;6
"140002 Amajari";0;2;0;1;0;0;0;0;0;1;4
"140010 Boa Vista";44;134;39;272;71;206;213;47;91;28;1145
"140015 Bonfim";0;10;0;5;2;3;1;1;1;1;24
"140017 Cantá";1;2;2;1;0;1;5;0;0;0;12
"140020 Caracaraí";2;4;0;4;2;5;4;0;0;0;21
"140023 Caroebe";1;1;1;1;1;0;1;0;0;0;6
"140028 Iracema";0;0;0;1;0;0;1;0;1;0;3
"140030 Mucajaí";1;9;0;7;2;5;3;0;1;0;28
"140040 Normandia";1;3;0;1;1;0;0;1;0;0;7
"140045 Pacaraima";0;4;3;2;0;0;4;0;1;0;14
"140047 Rorainópolis";0;3;1;8;1;1;7;0;0;0;21
"140050 São João da Baliza";0;2;0;4;0;1;2;0;0;1;10
"140060 São Luiz";0;0;1;2;0;1;1;0;0;0;5
"140070 Uiramutã";0;0;0;0;1;1;1;0;1;0;4
"140000 Município ignorado - RR";0;1;0;0;0;1;0;0;2;0;4
"150010 Abaetetuba";7;15;10;22;8;18;13;0;4;5;102
"150013 Abel Figueiredo";0;0;1;0;0;1;0;0;0;0;2
"150020 Acará";0;7;5;1;1;1;3;0;1;0;19
"150030 Afuá";1;0;1;1;0;0;1;0;3;1;8
"150034 Água Azul do Norte";1;0;0;0;0;0;0;0;0;0;1
"150040 Alenquer";0;3;0;6;0;0;1;0;2;1;13
"150050 Almeirim";1;2;0;3;0;2;1;0;0;0;9
"150060 Altamira";4;6;4;17;7;5;3;0;2;3;51
"150070 Anajás";0;1;0;0;0;0;3;1;0;1;6
"150080 Ananindeua";14;147;48;299;84;200;107;19;58;26;1002
"150085 Anapu";2;3;2;1;0;1;0;0;0;2;11
"150090 Augusto Corrêa";1;4;2;5;2;1;1;0;1;0;17
"150095 Aurora do Pará";0;2;2;0;0;0;0;0;0;0;4
"150100 Aveiro";1;1;0;2;0;0;0;0;0;0;4
"150110 Bagre";0;1;0;1;0;0;1;0;1;0;4
"150120 Baião";1;3;2;3;0;2;4;0;1;0;16
"150125 Bannach";0;0;1;0;0;0;0;0;0;0;1
"150130 Barcarena";2;9;9;28;7;4;11;1;0;5;76
"150140 Belém";64;518;189;1219;227;877;500;63;346;126;4129
"150145 Belterra";0;1;0;4;0;1;1;0;0;0;7
"150150 Benevides";2;8;9;21;7;3;10;0;0;2;62
"150157 Bom Jesus do Tocantins";0;0;2;0;0;0;0;0;0;0;2
"150160 Bonito";0;0;1;2;0;0;0;0;0;0;3
"150170 Bragança";4;12;6;15;3;11;8;0;2;3;64
"150172 Brasil Novo";1;0;0;2;0;0;0;0;0;0;3
"150175 Brejo Grande do Araguaia";1;1;2;0;0;0;0;0;0;0;4
"150178 Breu Branco";6;5;3;7;1;2;0;1;1;0;26
"150180 Breves";1;8;8;2;0;0;3;0;1;0;23
"150190 Bujaru";2;5;7;5;3;1;2;0;0;1;26
"150200 Cachoeira do Arari";0;1;2;0;0;0;2;0;0;0;5
"150195 Cachoeira do Piriá";0;3;0;2;1;1;0;0;1;1;9
"150210 Cametá";0;4;1;7;3;1;2;0;1;0;19
"150215 Canaã dos Carajás";3;11;9;8;2;5;9;0;1;1;49
"150220 Capanema";2;5;2;11;4;5;6;0;1;2;38
"150230 Capitão Poço";1;9;2;4;0;2;2;0;1;1;22
"150240 Castanhal";7;35;4;83;11;39;30;5;13;4;231
"150250 Chaves";0;0;1;0;0;0;0;0;0;0;1
"150260 Colares";0;2;0;1;2;0;5;0;0;0;10
"150270 Conceição do Araguaia";1;7;2;4;3;5;1;0;0;0;23
"150275 Concórdia do Pará";1;1;0;1;2;0;0;0;1;0;6
"150276 Cumaru do Norte";1;5;1;4;0;0;0;0;0;0;11
"150277 Curionópolis";8;11;5;14;1;2;1;1;0;0;43
"150280 Curralinho";1;1;1;1;0;2;0;0;0;0;6
"150285 Curuá";0;0;0;1;0;0;1;0;0;1;3
"150290 Curuçá";1;3;1;14;4;5;3;0;2;1;34
"150293 Dom Eliseu";5;2;10;9;1;4;2;0;0;1;34
"150295 Eldorado dos Carajás";10;14;2;16;1;1;3;0;2;3;52
"150300 Faro";0;0;0;2;0;0;1;1;0;0;4
"150304 Floresta do Araguaia";0;0;1;2;0;1;3;0;0;2;9
"150307 Garrafão do Norte";1;3;0;1;0;0;2;0;0;1;8
"150309 Goianésia do Pará";7;8;2;7;1;1;2;0;0;0;28
"150310 Gurupá";0;2;2;6;0;0;3;0;1;1;15
"150320 Igarapé-Açu";2;6;0;8;1;2;7;1;0;1;28
"150330 Igarapé-Miri";0;4;1;3;1;0;3;0;0;0;12
"150340 Inhangapi";0;1;0;1;0;0;3;0;0;0;5
"150345 Ipixuna do Pará";1;3;1;4;2;2;3;0;0;0;16
"150350 Irituia";3;5;0;1;1;0;2;0;0;0;12
"150360 Itaituba";7;21;5;34;6;8;5;2;1;1;90
"150370 Itupiranga";2;4;5;6;0;2;0;0;0;0;19
"150375 Jacareacanga";0;0;0;1;0;1;0;0;0;0;2
"150380 Jacundá";4;4;15;14;1;0;3;0;2;2;45
"150390 Juruti";0;1;0;5;2;0;1;0;2;0;11
"150400 Limoeiro do Ajuru";0;0;1;1;0;1;1;0;0;0;4
"150405 Mãe do Rio";3;8;8;8;5;1;2;1;3;0;39
"150410 Magalhães Barata";0;1;0;2;2;1;0;0;0;0;6
"150420 Marabá";15;58;106;72;22;11;12;2;6;9;313
"150430 Maracanã";1;3;1;3;2;2;2;0;0;0;14
"150440 Marapanim";1;6;2;10;2;2;1;0;1;1;26
"150442 Marituba";7;32;22;52;22;24;32;6;9;6;212
"150445 Medicilândia";0;2;0;1;0;0;1;0;0;2;6
"150450 Melgaço";0;1;0;0;0;0;0;0;0;0;1
"150460 Mocajuba";0;1;4;1;1;0;0;0;0;0;7
"150470 Moju";1;6;3;7;3;0;3;0;1;1;25
"150480 Monte Alegre";1;0;0;5;1;1;1;1;0;1;11
"150490 Muaná";0;3;2;4;0;0;0;0;1;1;11
"150495 Nova Esperança do Piriá";0;1;0;0;0;0;0;0;0;0;1
"150497 Nova Ipixuna";0;2;4;1;0;0;0;0;0;0;7
"150500 Nova Timboteua";0;0;0;1;0;1;0;0;0;0;2
"150503 Novo Progresso";0;10;2;8;2;3;3;0;0;2;30
"150506 Novo Repartimento";5;18;4;10;0;2;5;0;1;1;46
"150510 Óbidos";2;4;1;9;3;2;7;1;0;3;32
"150520 Oeiras do Pará";0;0;2;1;0;0;0;0;1;2;6
"150530 Oriximiná";1;7;0;20;1;5;6;0;2;1;43
"150540 Ourém";0;1;1;2;0;1;0;0;0;0;5
"150543 Ourilândia do Norte";0;5;2;9;0;2;0;0;0;0;18
"150548 Pacajá";1;1;3;2;3;1;2;0;0;1;14
"150549 Palestina do Pará";1;3;0;0;0;0;0;0;0;0;4
"150550 Paragominas";20;37;8;39;10;14;9;2;7;2;148
"150553 Parauapebas";31;52;24;98;32;33;110;4;18;15;417
"150555 Pau D'Arco";1;3;0;0;0;0;0;0;0;0;4
"150560 Peixe-Boi";0;4;0;1;0;0;2;0;0;0;7
"150563 Piçarra";3;3;1;3;0;2;0;0;0;0;12
"150565 Placas";0;0;0;2;0;0;2;0;0;0;4
"150570 Ponta de Pedras";0;4;4;4;0;0;1;0;2;0;15
"150580 Portel";1;0;1;1;0;0;0;0;0;0;3
"150590 Porto de Moz";0;0;0;0;1;0;0;0;0;0;1
"150600 Prainha";0;0;0;0;0;0;1;0;1;0;2
"150610 Primavera";0;4;1;0;1;1;2;0;0;0;9
"150611 Quatipuru";2;3;2;4;1;0;1;0;1;0;14
"150613 Redenção";14;52;10;45;2;8;2;4;6;5;148
"150616 Rio Maria";2;6;2;7;1;1;0;0;2;0;21
"150618 Rondon do Pará";1;5;8;8;1;0;1;0;0;1;25
"150619 Rurópolis";0;0;0;3;0;0;1;0;0;0;4
"150620 Salinópolis";0;6;2;8;2;3;6;0;0;0;27
"150630 Salvaterra";1;3;3;6;1;1;2;0;1;2;20
"150635 Santa Bárbara do Pará";2;2;3;4;0;0;4;0;0;0;15
"150640 Santa Cruz do Arari";0;1;1;1;0;0;0;0;0;0;3
"150650 Santa Isabel do Pará";2;12;5;15;4;8;4;1;1;1;53
"150655 Santa Luzia do Pará";1;2;1;2;0;0;0;0;0;0;6
"150658 Santa Maria das Barreiras";0;0;1;2;0;0;0;0;0;1;4
"150660 Santa Maria do Pará";0;7;6;14;1;3;2;0;0;1;34
"150670 Santana do Araguaia";2;13;3;6;4;1;2;0;2;2;35
"150680 Santarém";4;43;11;123;43;32;77;7;16;4;360
"150690 Santarém Novo";0;1;0;0;0;1;2;0;0;0;4
"150700 Santo Antônio do Tauá";0;3;2;7;1;2;3;0;0;1;19
"150710 São Caetano de Odivelas";2;5;6;4;1;0;3;0;0;2;23
"150715 São Domingos do Araguaia";2;1;5;8;1;0;0;0;0;0;17
"150720 São Domingos do Capim";0;3;2;0;1;0;3;0;0;0;9
"150730 São Félix do Xingu";13;14;9;12;2;2;7;0;0;4;63
"150740 São Francisco do Pará";0;3;2;3;0;0;0;0;0;0;8
"150745 São Geraldo do Araguaia";4;7;0;9;1;4;3;0;1;1;30
"150746 São João da Ponta";0;0;1;1;1;0;0;0;1;0;4
"150747 São João de Pirabas";2;1;1;6;0;0;0;0;1;0;11
"150750 São João do Araguaia";0;2;1;1;1;0;1;0;0;1;7
"150760 São Miguel do Guamá";3;11;7;14;3;6;5;0;2;1;52
"150770 São Sebastião da Boa Vista";0;0;3;2;0;2;1;0;0;1;9
"150775 Sapucaia";1;2;2;2;0;0;0;0;0;1;8
"150780 Senador José Porfírio";0;0;2;0;1;0;0;0;0;0;3
"150790 Soure";1;4;6;6;3;2;3;0;0;2;27
"150795 Tailândia";10;15;11;18;8;3;5;0;0;2;72
"150796 Terra Alta";0;1;0;3;0;0;2;0;0;0;6
"150797 Terra Santa";0;1;0;2;1;0;1;0;0;0;5
"150800 Tomé-Açu";2;15;7;7;2;5;4;0;0;3;45
"150803 Tracuateua";1;1;0;0;1;1;0;0;0;1;5
"150805 Trairão";0;0;0;0;0;0;3;0;0;0;3
"150808 Tucumã";2;4;4;6;1;1;2;1;0;0;21
"150810 Tucuruí";13;32;11;43;4;14;18;3;2;7;147
"150812 Ulianópolis";1;9;3;3;0;1;0;0;0;0;17
"150815 Uruará";1;2;2;4;0;1;0;0;0;0;10
"150820 Vigia";0;10;7;12;3;6;13;0;1;1;53
"150830 Viseu";0;2;3;5;3;0;1;0;0;0;14
"150835 Vitória do Xingu";0;0;1;1;0;0;0;0;0;0;2
"150840 Xinguara";3;5;1;8;0;1;1;0;0;1;20
"150000 Município ignorado - PA";0;0;0;0;0;1;0;0;0;0;1
"160010 Amapá";0;1;0;0;0;0;0;0;0;0;1
"160020 Calçoene";1;3;1;5;2;2;1;2;0;0;17
"160021 Cutias";1;1;0;1;0;0;0;0;0;0;3
"160023 Ferreira Gomes";0;0;1;2;0;2;0;0;0;0;5
"160025 Itaubal";0;0;1;1;0;0;1;0;0;0;3
"160027 Laranjal do Jari";3;11;3;7;3;2;7;0;1;0;37
"160030 Macapá";24;98;21;206;43;163;168;35;80;23;861
"160040 Mazagão";1;2;0;0;0;0;2;1;0;1;7
"160050 Oiapoque";4;13;8;16;6;3;6;0;1;5;62
"160015 Pedra Branca do Amapari";1;2;1;1;0;1;1;0;2;0;9
"160053 Porto Grande";1;2;1;2;0;4;2;1;0;0;13
"160060 Santana";2;17;5;29;10;15;25;4;10;4;121
"160070 Tartarugalzinho";0;1;2;2;0;1;0;0;0;1;7
"160080 Vitória do Jari";0;0;0;2;1;0;2;0;0;0;5
"170030 Aguiarnópolis";0;3;0;8;0;0;2;0;1;0;14
"170035 Aliança do Tocantins";1;3;2;0;2;2;0;0;0;1;11
"170040 Almas";0;1;0;0;0;0;1;0;0;0;2
"170070 Alvorada";0;1;1;1;3;2;3;0;0;0;11
