"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e mais";"ignorado";"Total"
"110001 Alta Floresta D'Oeste";0;0;0;0;0;7;6;0;0;0;0;13
"110037 Alto Alegre dos Parecis";0;1;0;0;0;3;2;0;0;0;0;6
"110040 Alto Paraíso";0;1;1;0;0;16;8;1;0;0;0;27
"110034 Alvorada D'Oeste";0;0;0;0;0;6;2;2;0;0;0;10
"110002 Ariquemes";2;6;1;0;1;115;126;28;2;0;0;281
"110045 Buritis";0;2;0;0;0;19;15;1;0;0;0;37
"110003 Cabixi";0;0;0;0;0;2;1;0;0;0;0;3
"110060 Cacaulândia";0;0;0;0;1;2;2;0;0;0;0;5
"110004 Cacoal";1;2;1;0;7;81;46;16;2;1;0;157
"110070 Campo Novo de Rondônia";0;4;0;0;1;5;4;1;0;0;0;15
"110080 Candeias do Jamari";0;2;1;0;1;26;33;9;2;0;0;74
"110090 Castanheiras";0;0;0;0;0;2;3;0;0;0;0;5
"110005 Cerejeiras";0;0;0;0;0;18;7;4;2;0;0;31
"110092 Chupinguaia";0;0;0;0;1;9;4;3;1;0;0;18
"110006 Colorado do Oeste";0;0;0;0;0;8;10;9;0;0;0;27
"110007 Corumbiara";0;0;0;0;2;2;2;0;0;0;0;6
"110008 Costa Marques";0;1;0;1;1;8;5;3;1;0;0;20
"110094 Cujubim";0;0;0;0;0;6;8;3;0;0;0;17
"110009 Espigão D'Oeste";0;1;0;0;0;12;6;6;0;0;0;25
"110100 Governador Jorge Teixeira";0;0;0;0;0;3;1;0;1;0;0;5
"110010 Guajará-Mirim";1;4;1;0;6;52;28;16;0;0;0;108
"110110 Itapuã do Oeste";0;0;0;0;0;2;3;0;1;0;0;6
"110011 Jaru";1;0;1;0;0;24;33;9;0;0;0;68
"110012 Ji-Paraná";1;1;3;0;5;135;141;44;1;0;0;331
"110013 Machadinho D'Oeste";0;0;0;0;0;9;7;7;0;0;0;23
"110120 Ministro Andreazza";0;0;0;0;0;4;3;0;0;0;0;7
"110130 Mirante da Serra";0;0;0;0;0;5;2;1;0;0;0;8
"110140 Monte Negro";0;1;0;1;2;7;7;0;0;0;0;18
"110014 Nova Brasilândia D'Oeste";0;1;0;0;0;11;9;4;0;0;0;25
"110033 Nova Mamoré";0;1;0;1;0;13;14;2;0;0;0;31
"110143 Nova União";0;0;0;0;0;0;5;1;0;0;0;6
"110015 Ouro Preto do Oeste";1;1;1;0;2;27;21;9;0;0;0;62
"110145 Parecis";0;0;0;0;0;0;1;0;0;0;0;1
"110018 Pimenta Bueno";2;0;3;0;0;29;23;8;2;0;0;67
"110146 Pimenteiras do Oeste";0;0;0;0;0;1;0;0;0;0;0;1
"110020 Porto Velho";15;28;19;7;59;1320;1139;406;53;5;0;3051
"110025 Presidente Médici";0;0;0;0;1;25;19;2;0;0;0;47
"110147 Primavera de Rondônia";0;0;0;0;0;1;1;0;0;0;0;2
"110026 Rio Crespo";0;0;0;0;0;3;1;0;0;0;0;4
"110028 Rolim de Moura";0;1;0;0;2;35;34;6;0;0;0;78
"110029 Santa Luzia D'Oeste";0;0;0;0;0;2;4;1;0;0;0;7
"110148 São Felipe D'Oeste";0;0;0;0;0;0;1;1;0;0;0;2
"110149 São Francisco do Guaporé";0;0;0;0;0;1;3;1;0;0;0;5
"110032 São Miguel do Guaporé";0;0;0;0;0;2;2;1;0;0;0;5
"110150 Seringueiras";0;0;0;0;0;1;2;0;0;0;0;3
"110155 Teixeirópolis";0;0;0;0;1;1;1;3;0;0;0;6
"110160 Theobroma";0;0;0;0;1;2;1;0;0;0;0;4
"110170 Urupá";0;0;0;0;0;3;1;1;0;0;0;5
"110175 Vale do Anari";0;0;0;0;0;1;0;0;0;0;0;1
"110180 Vale do Paraíso";0;0;0;0;0;0;1;1;0;0;0;2
