

"Município (Res)";"Homossexual";"Bissexual";"Heterossexual";"UDI";"Hemofílico";"Transfusão";"Acid. Material Biológico";"Transmissão Vertical";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";0;1;9;0;0;0;0;0;3;13
"110037 Alto Alegre dos Parecis";0;0;4;0;0;0;0;1;1;6
"110040 Alto Paraíso";2;0;18;0;0;0;0;2;5;27
"110034 Alvorada D'Oeste";0;0;4;0;0;0;0;0;6;10
"110002 Ariquemes";22;7;172;5;0;0;0;6;69;281
"110045 Buritis";1;1;25;0;0;0;0;1;9;37
"110003 Cabixi";0;0;3;0;0;0;0;0;0;3
"110060 Cacaulândia";0;0;4;0;0;0;0;0;1;5
"110004 Cacoal";12;7;99;9;0;0;0;4;26;157
"110070 Campo Novo de Rondônia";0;0;9;0;0;0;0;2;4;15
"110080 Candeias do Jamari";8;4;48;0;0;0;0;2;12;74
"110090 Castanheiras";0;0;3;0;0;0;0;0;2;5
"110005 Cerejeiras";0;1;25;0;0;0;0;0;5;31
"110092 Chupinguaia";0;0;12;0;0;0;0;0;6;18
"110006 Colorado do Oeste";1;1;20;2;0;0;0;0;3;27
"110007 Corumbiara";0;0;6;0;0;0;0;0;0;6
"110008 Costa Marques";2;0;10;1;0;0;0;2;5;20
"110094 Cujubim";0;0;12;0;0;0;0;0;5;17
"110009 Espigão D'Oeste";2;0;12;0;0;0;0;1;10;25
"110100 Governador Jorge Teixeira";0;0;3;0;0;0;0;0;2;5
"110010 Guajará-Mirim";12;1;62;3;0;0;0;3;27;108
"110110 Itapuã do Oeste";2;0;4;0;0;0;0;0;0;6
"110011 Jaru";1;2;35;1;0;1;0;3;25;68
"110012 Ji-Paraná";17;5;161;8;0;2;0;2;136;331
"110013 Machadinho D'Oeste";1;0;17;0;0;0;0;0;5;23
"110120 Ministro Andreazza";1;0;5;0;0;0;0;0;1;7
"110130 Mirante da Serra";1;0;4;0;0;0;0;0;3;8
"110140 Monte Negro";0;1;11;0;0;0;0;1;5;18
"110014 Nova Brasilândia D'Oeste";0;0;17;0;0;0;0;1;7;25
"110033 Nova Mamoré";2;0;20;0;0;0;0;1;8;31
"110143 Nova União";0;0;1;0;0;0;0;0;5;6
"110015 Ouro Preto do Oeste";4;6;29;0;0;0;0;3;20;62
"110145 Parecis";0;0;1;0;0;0;0;0;0;1
"110018 Pimenta Bueno";2;0;24;4;0;1;0;0;36;67
"110146 Pimenteiras do Oeste";0;0;1;0;0;0;0;0;0;1
"110020 Porto Velho";340;127;1857;55;1;12;0;43;616;3051
"110025 Presidente Médici";1;2;30;1;0;0;0;1;12;47
"110147 Primavera de Rondônia";0;0;0;1;0;0;0;0;1;2
"110026 Rio Crespo";1;0;1;0;0;0;0;0;2;4
"110028 Rolim de Moura";6;1;39;3;0;1;0;2;26;78
"110029 Santa Luzia D'Oeste";0;0;6;0;0;0;0;0;1;7
"110148 São Felipe D'Oeste";2;0;0;0;0;0;0;0;0;2
"110149 São Francisco do Guaporé";0;0;3;0;0;0;0;0;2;5
"110032 São Miguel do Guaporé";0;0;3;0;0;0;0;0;2;5
"110150 Seringueiras";0;0;1;1;0;0;0;0;1;3
"110155 Teixeirópolis";0;0;6;0;0;0;0;0;0;6
"110160 Theobroma";0;0;4;0;0;0;0;0;0;4
"110170 Urupá";0;1;2;0;0;0;0;0;2;5
"110175 Vale do Anari";0;0;0;0;0;0;0;0;1;1
"110180 Vale do Paraíso";0;0;1;0;0;0;0;0;1;2
"110030 Vilhena";12;19;208;51;0;1;0;4;43;338
"110000 Município ignorado - RO";1;0;2;0;0;0;0;0;2;5
"120001 Acrelândia";0;1;13;0;0;0;0;0;1;15
"120005 Assis Brasil";0;0;3;0;0;0;0;0;2;5
"120010 Brasiléia";2;1;11;0;0;0;0;1;0;15
"120013 Bujari";0;0;4;0;0;0;0;0;0;4
"120017 Capixaba";0;0;4;0;0;0;0;0;3;7
"120020 Cruzeiro do Sul";2;2;21;1;0;0;0;0;5;31
"120025 Epitaciolândia";0;1;8;0;0;0;0;0;1;10
