"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";4;2;0;4;0;3;13
"110037 Alto Alegre dos Parecis";5;0;0;0;0;1;6
"110040 Alto Paraíso";10;1;1;9;0;6;27
"110034 Alvorada D'Oeste";2;0;0;3;0;5;10
"110002 Ariquemes";62;32;2;122;2;61;281
"110045 Buritis";8;1;1;16;0;11;37
"110003 Cabixi";1;1;0;0;0;1;3
"110060 Cacaulândia";1;0;0;2;0;2;5
"110004 Cacoal";57;4;0;54;0;42;157
"110070 Campo Novo de Rondônia";1;0;0;7;0;7;15
"110080 Candeias do Jamari";10;5;0;41;1;17;74
"110090 Castanheiras";0;0;0;3;0;2;5
"110005 Cerejeiras";11;4;0;10;0;6;31
"110092 Chupinguaia";5;2;0;5;0;6;18
"110006 Colorado do Oeste";10;6;0;7;0;4;27
"110007 Corumbiara";2;2;0;1;0;1;6
"110008 Costa Marques";1;1;0;11;1;6;20
"110094 Cujubim";0;2;0;10;0;5;17
"110009 Espigão D'Oeste";4;2;0;7;1;11;25
"110100 Governador Jorge Teixeira";0;0;0;3;0;2;5
"110010 Guajará-Mirim";23;2;0;50;1;32;108
"110110 Itapuã do Oeste";2;0;0;3;0;1;6
"110011 Jaru";8;3;1;29;1;26;68
"110012 Ji-Paraná";45;10;2;132;0;142;331
"110013 Machadinho D'Oeste";3;2;1;14;0;3;23
"110120 Ministro Andreazza";1;1;0;5;0;0;7
"110130 Mirante da Serra";2;1;0;2;0;3;8
"110140 Monte Negro";5;2;1;6;1;3;18
"110014 Nova Brasilândia D'Oeste";7;1;0;10;0;7;25
"110033 Nova Mamoré";5;3;0;17;0;6;31
"110143 Nova União";3;0;0;1;0;2;6
"110015 Ouro Preto do Oeste";7;5;1;27;0;22;62
"110145 Parecis";1;0;0;0;0;0;1
"110018 Pimenta Bueno";8;4;0;14;0;41;67
"110146 Pimenteiras do Oeste";0;0;0;0;0;1;1
"110020 Porto Velho";411;89;32;1595;3;921;3051
"110025 Presidente Médici";8;3;0;16;0;20;47
"110147 Primavera de Rondônia";0;0;0;1;0;1;2
"110026 Rio Crespo";1;0;0;1;0;2;4
"110028 Rolim de Moura";16;2;1;33;0;26;78
