"Município (Res)";"Masculino";"Feminino";"Em Branco";"Total"
"110001 Alta Floresta D'Oeste";7;6;0;13
"110037 Alto Alegre dos Parecis";3;3;0;6
"110040 Alto Paraíso";14;13;0;27
"110034 Alvorada D'Oeste";5;5;0;10
"110002 Ariquemes";160;121;0;281
"110045 Buritis";20;17;0;37
"110003 Cabixi";1;2;0;3
"110060 Cacaulândia";2;3;0;5
"110004 Cacoal";92;65;0;157
"110070 Campo Novo de Rondônia";6;9;0;15
"110080 Candeias do Jamari";50;24;0;74
"110090 Castanheiras";1;4;0;5
"110005 Cerejeiras";14;17;0;31
"110092 Chupinguaia";10;8;0;18
"110006 Colorado do Oeste";13;14;0;27
"110007 Corumbiara";2;4;0;6
"110008 Costa Marques";9;11;0;20
"110094 Cujubim";8;9;0;17
"110009 Espigão D'Oeste";15;10;0;25
"110100 Governador Jorge Teixeira";2;3;0;5
"110010 Guajará-Mirim";62;46;0;108
"110110 Itapuã do Oeste";3;3;0;6
"110011 Jaru";36;32;0;68
"110012 Ji-Paraná";197;134;0;331
"110013 Machadinho D'Oeste";15;8;0;23
"110120 Ministro Andreazza";5;2;0;7
"110130 Mirante da Serra";7;1;0;8
"110140 Monte Negro";12;6;0;18
"110014 Nova Brasilândia D'Oeste";9;16;0;25
"110033 Nova Mamoré";22;9;0;31
"110143 Nova União";1;5;0;6
"110015 Ouro Preto do Oeste";38;24;0;62
"110145 Parecis";0;1;0;1
"110018 Pimenta Bueno";32;35;0;67
"110146 Pimenteiras do Oeste";0;1;0;1
"110020 Porto Velho";1839;1212;0;3051
"110025 Presidente Médici";26;21;0;47
"110147 Primavera de Rondônia";2;0;0;2
"110026 Rio Crespo";4;0;0;4
"110028 Rolim de Moura";40;38;0;78
"110029 Santa Luzia D'Oeste";3;4;0;7
"110148 São Felipe D'Oeste";2;0;0;2
"110149 São Francisco do Guaporé";2;3;0;5
"110032 São Miguel do Guaporé";2;3;0;5
"110150 Seringueiras";2;1;0;3
"110155 Teixeirópolis";5;1;0;6
"110160 Theobroma";0;4;0;4
"110170 Urupá";3;2;0;5
"110175 Vale do Anari";1;0;0;1
"110180 Vale do Paraíso";1;1;0;2
"110030 Vilhena";186;152;0;338
"110000 Município ignorado - RO";5;0;0;5
"120001 Acrelândia";6;9;0;15
"120005 Assis Brasil";4;1;0;5
"120010 Brasiléia";9;6;0;15
"120013 Bujari";1;3;0;4
"120017 Capixaba";6;1;0;7
"120020 Cruzeiro do Sul";15;16;0;31
"120025 Epitaciolândia";9;1;0;10
"120033 Mâncio Lima";1;1;0;2
"120034 Manoel Urbano";14;7;0;21
"120035 Marechal Thaumaturgo";0;1;0;1
"120038 Plácido de Castro";8;6;0;14
"120080 Porto Acre";4;1;0;5
"120039 Porto Walter";0;1;0;1
"120040 Rio Branco";461;300;0;761
"120042 Rodrigues Alves";2;2;0;4
"120043 Santa Rosa do Purus";1;0;0;1
"120050 Sena Madureira";21;23;0;44
"120045 Senador Guiomard";16;14;0;30
"120060 Tarauacá";4;0;0;4
"120070 Xapuri";6;3;0;9
"130002 Alvarães";0;3;0;3
"130006 Amaturá";6;4;0;10
"130008 Anamã";2;0;0;2
"130010 Anori";3;1;0;4
"130014 Apuí";14;14;0;28
"130020 Atalaia do Norte";7;7;0;14
"130030 Autazes";23;10;0;33
"130040 Barcelos";7;3;0;10
"130050 Barreirinha";13;9;0;22
"130060 Benjamin Constant";65;28;0;93
"130063 Beruri";5;3;0;8
"130068 Boa Vista do Ramos";6;2;0;8
"130070 Boca do Acre";10;1;0;11
"130080 Borba";33;12;0;45
"130083 Caapiranga";2;1;0;3
"130090 Canutama";3;1;0;4
"130100 Carauari";8;6;0;14
"130110 Careiro";18;14;0;32
"130115 Careiro da Várzea";6;8;0;14
"130120 Coari";35;35;0;70
"130130 Codajás";6;4;0;10
"130140 Eirunepé";11;6;0;17
"130150 Envira";1;0;0;1
"130160 Fonte Boa";10;8;0;18
"130170 Humaitá";42;39;0;81
"130185 Iranduba";71;40;0;111
"130190 Itacoatiara";116;74;1;191
"130195 Itamarati";1;1;0;2
"130200 Itapiranga";4;3;0;7
"130210 Japurá";3;2;0;5
"130230 Jutaí";4;1;0;5
"130240 Lábrea";9;5;0;14
"130250 Manacapuru";86;67;0;153
"130255 Manaquiri";14;2;0;16
"130260 Manaus";9091;4026;6;13123
"130270 Manicoré";27;19;0;46
"130280 Maraã";4;4;0;8
"130290 Maués";38;25;1;64
"130300 Nhamundá";3;0;0;3
"130310 Nova Olinda do Norte";10;9;0;19
"130320 Novo Airão";12;15;0;27
"130330 Novo Aripuanã";4;5;0;9
"130340 Parintins";166;109;0;275
"130350 Pauini";0;1;0;1
"130353 Presidente Figueiredo";39;25;0;64
"130356 Rio Preto da Eva";40;20;0;60
"130360 Santa Isabel do Rio Negro";1;0;0;1
"130370 Santo Antônio do Içá";12;9;0;21
"130380 São Gabriel da Cachoeira";9;6;0;15
"130390 São Paulo de Olivença";23;18;0;41
"130395 São Sebastião do Uatumã";3;2;0;5
"130400 Silves";4;1;0;5
"130406 Tabatinga";162;74;0;236
"130410 Tapauá";2;0;0;2
"130420 Tefé";100;82;0;182
"130423 Tonantins";4;1;0;5
"130426 Uarini";7;3;0;10
"130430 Urucará";7;1;0;8
"130440 Urucurituba";9;15;0;24
"130000 Município ignorado - AM";4;0;0;4
"140005 Alto Alegre";7;3;0;10
"140002 Amajari";4;4;0;8
"140010 Boa Vista";1143;599;0;1742
"140015 Bonfim";23;11;0;34
"140017 Cantá";18;6;0;24
"140020 Caracaraí";19;12;0;31
"140023 Caroebe";6;2;0;8
"140028 Iracema";5;2;0;7
"140030 Mucajaí";31;20;0;51
"140040 Normandia";2;5;0;7
"140045 Pacaraima";19;6;0;25
"140047 Rorainópolis";19;14;0;33
"140050 São João da Baliza";13;4;0;17
"140060 São Luiz";3;2;0;5
"140070 Uiramutã";2;2;0;4
"140000 Município ignorado - RR";2;4;0;6
"150010 Abaetetuba";142;90;0;232
"150013 Abel Figueiredo";3;5;0;8
"150020 Acará";17;17;0;34
"150030 Afuá";5;3;0;8
"150034 Água Azul do Norte";3;0;0;3
"150040 Alenquer";21;8;0;29
"150050 Almeirim";13;6;0;19
"150060 Altamira";92;58;0;150
"150070 Anajás";6;3;0;9
"150080 Ananindeua";1411;789;0;2200
"150085 Anapu";12;13;0;25
"150090 Augusto Corrêa";55;31;0;86
"150095 Aurora do Pará";7;2;0;9
"150100 Aveiro";4;2;0;6
"150110 Bagre";6;1;0;7
"150120 Baião";14;18;0;32
"150125 Bannach";3;0;0;3
"150130 Barcarena";143;117;0;260
"150140 Belém";6285;3051;0;9336
"150145 Belterra";8;6;0;14
"150150 Benevides";102;48;0;150
"150157 Bom Jesus do Tocantins";4;3;0;7
"150160 Bonito";5;0;0;5
"150170 Bragança";196;108;0;304
"150172 Brasil Novo";7;3;0;10
"150175 Brejo Grande do Araguaia";3;3;0;6
"150178 Breu Branco";51;35;0;86
"150180 Breves";25;16;0;41
"150190 Bujaru";30;26;0;56
"150200 Cachoeira do Arari";8;7;0;15
"150195 Cachoeira do Piriá";19;13;0;32
"150210 Cametá";30;22;0;52
"150215 Canaã dos Carajás";47;32;0;79
"150220 Capanema";59;48;0;107
"150230 Capitão Poço";21;19;0;40
"150240 Castanhal";321;233;0;554
"150250 Chaves";2;1;0;3
"150260 Colares";13;6;0;19
"150270 Conceição do Araguaia";27;25;0;52
"150275 Concórdia do Pará";13;7;0;20
"150276 Cumaru do Norte";16;8;0;24
