opiniao;tweet
Positive;RT @BoskieLauren: I ❤️ chap cheer
Neutral;RT @CjayyTaughtHer: Rule #1: never be #2
Neutral;"🍩🍫🍕🍟🍔

STALK @harryfxcksme BC SHES DOING SOME FOLLOW TRICKS 25"
Positive;"RT @ImThatGentleman: Don't dwell in the past; because you've already been there. Just focus on the future since that is where you're headin…"
Neutral;RT @AwkwardEP: pikachu got the lean http://t.co/uYYPVOJmRI
Negative;Puff puff pass ya hoe
Neutral;0808 mon lit
Neutral;@jthizzle when was this
Neutral;@jthizzle when was this
Neutral;@datgurllol had to lol
Neutral;"#ViggleTV makes watching ""The Real Housewives of New Jersey"" more rewarding.  I’m earning great rewar
 #viggle #therealhousewivesofnewjersey"
Neutral;RT @brontezlomek: what I need most in life is my license
Neutral;@theladylexicon Yeah. It's the 27th. :x
Neutral;i cant believe mickey mouse had sex with shadow the hedgehog
Negative;TGIM (Thank God Its Monday) baby! 😀😀😀
Positive;RT @CuteEmergency: I NEED A HEDGEHOG RIGHT NOW OMG 😍😱 http://t.co/z5GzUtp8m9
Positive;RT @CuteEmergency: I NEED A HEDGEHOG RIGHT NOW OMG 😍😱 http://t.co/z5GzUtp8m9
Neutral;Peace Love Shea http://t.co/SVG2yzx8L0
Neutral;Same. https://t.co/GmP7Kz35yK
Neutral;Rules are for slaves 😅
Negative;"""OTAKU: Loving someone who doesn't exist.
KPOP fans: Loving someone who doesn't know you exist."""
Negative;"""OTAKU: Loving someone who doesn't exist.
KPOP fans: Loving someone who doesn't know you exist."""
Neutral;RT @theinfamousnerd: How everyone felt when Tennant left at the end of the 50th Anniversary #DoctorWho https://t.co/LB7RuPY9KK
Negative;@ThatsMy_SON lol shutup but hmj
Neutral;If I believe I can achieve
Positive;RT @5SOS: I met Michael 😁 http://t.co/yQEWwaxwFB
Neutral;RT @5SOS: I met Michael 😁 http://t.co/yQEWwaxwFB
Neutral;"""@CraziestSex: Quote with a sexy selfie and whoever favs it follow them"" http://t.co/wfIOxTlk6m"
Neutral;"""@CraziestSex: Quote with a sexy selfie and whoever favs it follow them"" http://t.co/wfIOxTlk6m"
Negative;RT @brightongigs: TODAY: KYLMA SOTA (Fin) / HATE FUCK / FEROXITY in Cowley Club http://t.co/ZfuF57jVWW
Positive;RT @Ashton5SOS: I like this photo of us :) http://t.co/vF9nWS9NAx
Negative;Can't find shit on TV.
Negative;RT @TheDesBible: I dont want to go in today , i want to sleeppp:(
Neutral;that's human nature..
Negative;"RT @maranathatweets: Psalms 70:5. 
“But I am poor and needy: make haste unto me, O God: thou art my help and my deliverer; O LORD, make no …"
Neutral;RT @BobOngWords: I really wish my eyes could take photos.
Neutral;Just posted a photo http://t.co/OEA34ivehJ
Neutral;And with that being said GOODNIGHT #whysoserious #thot #socalness  #socalthickness http://t.co/1RkpZ8uWAd
Neutral;And with that being said GOODNIGHT #whysoserious #thot #socalness  #socalthickness http://t.co/1RkpZ8uWAd
Neutral;I posted a new photo to Facebook http://t.co/2pwcZi6pNj
Neutral;"“But you’ve slipped under my skin, invaded my blood and seized my heart.”

🌸✨🍂

I love you, 

Mind following me?✨
@Real_Liam_Payne 

x295"
Neutral;What dj's are actually doing [vid] — https://t.co/ufOYtqLL7b
Neutral;What dj's are actually doing [vid] — https://t.co/ufOYtqLL7b
Positive;"Here's my 1st official Vimeo for #Rishbala ♥ @VivianDsena01 @drashti10  ♥
https://t.co/ivEAiICDyK 
You guys definitely gonna like it :-)"
Neutral;RT @9GAG: I'm not the type to be serious on twitter but this hit me... http://t.co/rc95k4tMQx
Positive;Finna get back on my writing game 💯 #ballislife
Neutral;"Hajj(Pilgrimage)A spiritual Unforgettable Journey to Makkah! Harken to IT before it's too late!
http://t.co/uwjEMW829S
@EDCkwt @L_eDialogueC"
Positive;"Hajj(Pilgrimage)A spiritual Unforgettable Journey to Makkah! Harken to IT before it's too late!
http://t.co/uwjEMW829S
@EDCkwt @L_eDialogueC"
Positive;RT @Luke5SOS: @Ashton5SOS best fans
Neutral;RT @Luke5SOS: @Ashton5SOS best fans
Neutral;RT @TheSexualGifs: relationship status http://t.co/Yo0WypPVyJ
Positive;RT @Khunnie0624: CRAZY rumors hahaha that's just CRAZY #GOCRAZY!!!
Positive;@Kevinstaysreal @alfyeezus @Master_German Uhmm Uhmm lets plan it for next next week ? this Friday is my bday doooe !!!!!!!🎉🎊
Neutral;RT @BigAssAddicts: Dear oomf, Let me rub your booty like this. https://t.co/wAuyc3QlM1
Negative;"You're able* 
Heavy tweets ruined by typos. 😒"
Neutral;I love you will you marry me *DARE AGAIN* @RP_SeanP
Negative;yes….breaking bad….yes. breaking stuff is bad. I'm not in fucking kindergarden.  thanks
Negative;RT @Leading_lady103: Ask The Lord everyday for forgiveness because this life that I'm living is far from right
Neutral;READ THIS #BOOK #2: Spoiling (Modern Plays) http://t.co/lCpdMQtbzE #Kindle #598
Negative;That text just hit a nerve 😩😕😞
Negative;That text just hit a nerve 😩😕😞
Positive;RT @visIANary: Fright fest this year 😭😭 http://t.co/HTsHbKLgmC
Positive;RT @5SOS: I met Michael 😁 http://t.co/yQEWwaxwFB
Positive;@KianLawley HEYY HEYYY HEYYYY!!
Positive;So come with me, we'll go and see the big rock candy mountain!
Positive;So come with me, we'll go and see the big rock candy mountain!
Neutral;RT @JAASSHHHHH: @_raaaddd @Brendurs monday humans Tuesday fairies
Positive;";) ASS: C R http://t.co/93s32FHY6s"
Positive;RT @nickymcdonald1: @OverloadMusic well done lads 🙌🙌🙌
Neutral;"""Four Turnovers Spoil Levi’s® Stadium Debut"" via San Francisco 49ers : News http://t.co/0qg1l1yMJx #49ers #Sacramento"
Negative;😴 type shit
Negative;i hate when people make assumptions about things
Neutral;RT @culebra999: @WarCosts Seeking ways to steal more: #EU wants billions of euros to revive economy http://t.co/9cPanaVLOG
Positive;@leejieun1123__ hihi it's good i met new friend. :) take note, chanyeol biased too.
Positive;@leejieun1123__ hihi it's good i met new friend. :) take note, chanyeol biased too.
Positive;Former IGP Urges Northern Leaders To Save Nigeria From Insurgency: A former Inspector-General of Poli... http://t.co/cOGWhoN6De #Nigeria
Negative;RT @JennLi123: New piece. Black girls are punished and mocked for their originality while others co-opt it. #VogueArticles http://t.co/1xRN…
Neutral;Study blowing engine mail-order selling task toward specialty esteem maturing: Uhkefe
Positive;RT @LovLikeJesus: I am with you always - Matthew 28:20
Neutral;"RT @nashtonxdallas: LIAM SAID FIREPROOF IS OUR FANDOM'S SONG

WE HAVE PICKED THE RIGHT IDOLS

#MTVEMA One Direction http://t.co/UkrVWogeEG"
Neutral;"RT @nashtonxdallas: LIAM SAID FIREPROOF IS OUR FANDOM'S SONG

WE HAVE PICKED THE RIGHT IDOLS

#MTVEMA One Direction http://t.co/UkrVWogeEG"
Neutral;I posted a new photo to Facebook http://t.co/OKJaDhqmiP
Positive;RT @Zayn_is_my_king: LOOK AT HIS BEAUTIFUL BROWN EYES 😍 http://t.co/CuVvGYOXZZ
Neutral;BoA and Her Father Charged with Illegal Development on “Green Belt” Land http://t.co/WFu2ODSo2r
