oi;hi;Hola
nao;no;no
itau;itau;itau
timbrasil;timbrasil;TIM Brasil
preciso;need;necesitar
pra;for;para
claro;Clear;Claro
timbeta;hammer;martillo
todos;everybody;todos
betalab;betalab;betalab
operacaobetalab;operacaobetalab;operacaobetalab
seguidores;followers;seguidores
retribuo;retribuo;retribuo
blablablametro;blablablametro;blablablametro
sigam;follow;seguir
timbetalab;timeless;eterno
bradesco;bradesco;bradesco
clarobrasil;clarobrasil;clarobrasil
itaucard;itaucard;itaucard
skybrasil;skybrasil;skybrasil
boa;good;bueno
vivo;vivo;vivo
dia;day;día
skyresponde;skyresponde;skyresponde
alobradesco;alobradesco;alobradesco
bom;good;bueno
digaoi;digaoi;digaoi
caixa;Cashier;Cajero
tarde;late;tarde
bancodobrasil;Bank of Brazil;Banco de Brasil
tim;tim;tim
vou;I will;voy a
vivoemrede;vivoemrede;vivoemrede
gt;gt;gt
trabalho;job;trabajo
hoje;today;hoy
brasil;Brazil;Brasil
sky;sky;cielo
cartao;card;tarjeta
sa;saddle;sillÃ­n
rt;rt;rt
claroblog;claroblog;claroblog
ta;It was;Era
vc;you;usted
vai;go;ir
fazer;do;hacer
ja;and;y
mywork;mywork;mywork
ter;to have;teñer
conta;account;cuenta
