bradesco;bradesco;bradesco
alobradesco;alobradesco;alobradesco
itaucard;itaucard;itaucard
itau;itau;itau
claro;Clear;Claro
obrigado;thank you;gracias
skybrasil;skybrasil;skybrasil
oi;hi;hola
ja;and;y
clarobrasil;clarobrasil;clarobrasil
pra;for;para
parabans;congratulations;felicitaciones
vivo;vivo;vivo
melhor;best;mejor
bem;good;bueno
claroblog;claroblog;claroblog
bom;good;bueno
bancodobrasil;Bank of Brazil;Banco de Brasil
aqui;on here;aqui
caixa;Cashier;Cajero
sky;sky;cielo
dia;day;dÃ­a
cartao;card;tarjeta
obrigada;thanks;Gracias
ata;they;ellos
parabens;congratulations;felicitaciones
atendimento;attendance;asistencia
novo;new;nuevo
consegui;I got;tengo
mil;one thousand;mil
problema;problem;problema
legal;legal;legal
twitter;twitter;twitter
casa;home;casa
linda;beautiful;hermosa
digaoi;digaoi;digaoi
claroronaldo;claroronaldo;claroronaldo
lt;lt;lt
tudo;all;todas
ano;year;año
tim;tim;tim
eunoteleton;eunoteleton;eunoteleton
agora;now;ahora
trabalho;job;trabajo
banco;Bank;Banco
feliz;happy;contento
itaao;itaao;itaao
nao;no;no
