"Original Lines" OPINIONLEXICON SENTISTRENGTH SOCAL HAPPINESSINDEX SANN EMOTICONSDS SENTIMENT140 STANFORD AFINN MPQA NRCHASHTAG EMOLEX EMOTICONS PANAST SASA SENTIWORDNET VADER UMIGON
"procura ironia liga tv dança pt psdb nois vai fazer po vendo povo fuder juventude dança valsa hiv " Negative Negative Negative Positive Neutral Positive Positive Negative Negative Negative Negative Positive Neutral Neutral Negative Positive Negative Negative
"google coloca hiv câncer simples busca sobre aftas " Negative Negative Negative Negative Neutral Positive Negative Negative Negative Neutral Negative Negative Neutral Neutral Neutral Negative Negative Negative
"acabar vez preconceito contra soropositivos exclui uso preservativos ok https t co oxejdbg0lv " Negative Neutral Neutral Positive Neutral Positive Positive Negative Neutral Negative Positive Negative Neutral Neutral Neutral Negative Neutral Neutral
"@astor_dasilva mundo tá doente matéria sobre hiv fura camisinha qdo li fiquei mal d https t co vcercwfbyz " Negative Negative Negative Negative Negative Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Neutral Negative Negative Negative
"rt @cnj_oficial conviva dúvida faça teste #hiv forma gratuita https t co uu8c7fwcfb #disque136 https t co idtkst " Positive Negative Negative Positive Negative Positive Negative Negative Neutral Positive Neutral Negative Neutral Neutral Neutral Positive Neutral Positive
"acesse íntegra recomendação https t co pwgbgqbszg #cfm #medicina #hiv #aids #médicos https t co b7jjzldqhz " Positive Neutral Positive Positive Positive Positive Negative Neutral Neutral Positive Negative Positive Neutral Neutral Positive Positive Neutral Neutral
"rt @fofocasnewsbr @brumarquezine plena #amfar evento gala arrecadou 10 milhões dólares aqui brasil comb " Neutral Neutral Neutral Positive Neutral Positive Positive Negative Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"campanha garante sexo parceiro hiv indetectável transmite vírus https t co r7zgqtsdks " Negative Neutral Negative Positive Negative Positive Neutral Neutral Neutral Negative Negative Positive Neutral Neutral Neutral Positive Neutral Neutral
"@gabigpluxo é gp viu garota 16 anos baile pra qualquer descobre ta gravida ta https t co 5tiu1kgtmm " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @cnj_oficial conviva dúvida faça teste #hiv forma gratuita https t co uu8c7fwcfb #disque136 https t co idtkst " Positive Negative Negative Positive Negative Positive Negative Negative Neutral Positive Neutral Negative Neutral Neutral Neutral Positive Neutral Positive
"primeira coisa q fiz cheguei casa mandar mensagem p loiro cheio d hiv cu arrombado " Negative Negative Negative Positive Negative Positive Negative Negative Negative Neutral Negative Negative Neutral Neutral Neutral Positive Negative Negative
"discutir tema aumento número infectados hiv jovens brasil pra fazer redação alguém quiser " Negative Negative Neutral Positive Positive Positive Negative Positive Neutral Positive Negative Positive Neutral Neutral Neutral Negative Neutral Neutral
"fiz exame hiv hoje adivinhem deu negativo claro " Negative Negative Negative Neutral Neutral Positive Negative Negative Negative Neutral Negative Negative Neutral Neutral Neutral Negative Negative Neutral
"@rlivre @choracuica casos li época professor pinto acredito linkei aqui https t co hsbymt0cut " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Positive Positive Neutral Neutral
"@rlivre serve pra anal é incomum comunidade gay amigo contaminado hiv exatamente nessa situação " Negative Neutral Negative Positive Negative Positive Positive Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @cnj_oficial conviva dúvida faça teste #hiv forma gratuita https t co uu8c7fwcfb #disque136 https t co idtkst " Positive Negative Negative Positive Negative Positive Negative Negative Neutral Positive Neutral Negative Neutral Neutral Neutral Positive Neutral Positive
"rt @beloved_950 palavra dia dinheiro é hiv perguntas ninguém feeling worried " Negative Negative Neutral Positive Neutral Positive Negative Negative Negative Negative Negative Positive Neutral Neutral Neutral Positive Neutral Negative
"abertas inscrições trabalhos congresso brasileiro hiv aids hepatites virais simepar https t co 9cqnc5qjia " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Positive Negative Neutral Neutral
"gostei vídeo @youtube https t co h8ukfz1rae início epidemia hiv brasil " Positive Positive Neutral Neutral Neutral Positive Negative Negative Positive Neutral Negative Negative Neutral Neutral Positive Positive Neutral Positive
"queria viver socialismo então escolhia morte todos outros infectados enviado https t co 7phyp3dgwd " Negative Negative Negative Negative Neutral Positive Negative Neutral Negative Positive Negative Negative Neutral Neutral Neutral Negative Negative Neutral
"rt @cnj_oficial conviva dúvida faça teste #hiv forma gratuita https t co uu8c7fwcfb #disque136 https t co idtkst " Positive Negative Negative Positive Negative Positive Negative Negative Neutral Positive Neutral Negative Neutral Neutral Neutral Positive Neutral Positive
"rt @programaladobi releia los frikis conheça cubanos injetavam #hiv forma #protesto https t co fgqypkcr9d #aids #cuba " Neutral Negative Neutral Neutral Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
