opiniao;tweet
Positivo;Obrigada pela homenagem ao #casamentoigualitario , @BancodoBrasil @BancoDoBrasil7  !! Vejam aqui: http://t.co/4hICRrgnrW ! Muito bom!
Positivo;O #BancoDoBrasil já me deixou uma mensagem de parabéns. O 1º.
Positivo;Bora ser seu próprio chefe, trabalhar com esportes e ganhar 20 mil reais? A #InterU e o @BancoDoBrasil explicam como: http://t.co/ZgbqthSluF
Positivo;HAHAHAHA @BancodoBrasil maravilhoso!!!! http://t.co/mscHrnWiA4
Positivo;Parabens ao @BancodoBrasil #circuitobancodobrasil por um evento desse nivel! Esse banco tem historia no esporte! http://t.co/GBHjhVCIxu
Positivo;PARABÉNS AO #BANCODOBRASIL, ORGANIZAÇÃO IMPECÁVEL, NENHUM ARTISTA ATRASOU A APRESENTAÇÃO, ALGUNS COMEÇARAM ATÉ ANTES!
Positivo;n consigo acreditar que o extrato em pdf do #bb é melhor que o do #itau, muito ruim o extrato gerado pelo #itau #fail
Neutro;"Pessoal, vocês viram o post do #BancodoBrasil Consórcio de Serviços falando da ""mãozinha"" que podemos ter para... http://t.co/robN1hL9RI"
Neutro;#ZecaBaleiro cantou #ZéRamalho #Recife #Pernambuco #BancoDoBrasil http://t.co/xOr0693XjN
Neutro;@avpl100 @fidelmnz @A_candia @JHCarrera @llopez_cruz @mariohenaine @Roberto_Altieri @nomamar @bb jajaj eres grande Pako! Los twitts atinados
Neutro;Vice-presidente do @BancodoBrasil anuncia convênios de financiamento c/ cooperativa e c/ produtores p a construção de armazéns @blogplanalto
Neutro;Presentinhos de mais uma #Apimec  :p #Brasil #Voley #BancoDoBrasil #2013 http://t.co/rzoBHzKiGx
Neutro;"@dilmabr liga no @BancodoBrasil e manda parar de enrolar os funci responsáveis pela maior lucro da história. @blogbancariosdf 
@dfbancarios"
Neutro;@BB        quem tem q ser presos sao políticos bandidos,q aproveita seu estatus para cometer crimes como a benção da justiça,acordar BR.!
Neutro;#BancoDoBrasil apresenta: Green Move Festival. Daqui a pouco show de Zeca Baleiro, Nando Reis e Paralamas. Uhuuuuu... http://t.co/NQHeq6ovwq
Neutro;#CaféComAPresidenta @ImprensaBNB @ImprensaCAIXA @BancodoBrasil @Banrisul e @Banestes_SA participam d #ProgramaCrescer http://t.co/FOD0gNFaYW
Neutro;$$$$$$$$$$$ (@ Banco do Brasil - @bb) http://t.co/BnYfypbFOW
Neutro;#bancodobrasil boa tarde, não consigo acessar a conta pela net. O que está acontecendo?
Neutro;O @BancodoBrasil poderá ter maior participação de capital estrangeiro, de acordo com decreto publico hoje. http://t.co/UOoaMg8yNj
Neutro;@bancodobrasil gosta de achocolatado? Posso ser TODDYNHO seu!
Neutro;Após entregar #CampodeLibra, Dilma abre o #BancoDoBrasil para o capital internacional http://t.co/255vn4I9CP
Neutro;@BancodoBrasil @MaisBB não consigo acessar os comprovantes de pgto da minha conta, pela internet. O serviço está fora do ar?
Neutro;"Perdemos hoje da RÚSSIA por 1 gol. jogo muito disputado!
Amanhã tem mais!!!
Zeba: 4 gols
Valeuuuuuuu
#vamaislonge. #bancodobrasil #zeba03"
Neutro;@JorgeRibeiroSE @Leisparaquem @MPF_PGR  Eui quando percebi o golpe tirei minha conta do @BB, mas milhares não o farão pq não sabem q pode.
Neutro;Olha para onde vai os centavos descontados da sua conta corrente que você nem questiona http://t.co/UlaP2PeYPL @BancodoBrasil #BancodoBrasil
Neutro;@LionelDaSilva7 @bb tu n'a mas assumer hierr haahaa !!
Neutro;"Pior ainda, que quando ela tenta algum contato, os ""responsáveis"" do @BancodoBrasil só dizem que são taxas (???????)"
Neutro;"@BancodoBrasil cobre o ""recurso público"" da Visanet!&gt;&gt;Globo quer que BB cobre o que ela própria recebeu http://t.co/cTQIlp1nLY #globo #gnews"
Neutro;@BancodoBrasil cartao de cretido nao autorizada! As contas estao pagas em dia
Neutro;Se a moda pega... RT @joaocamargoneto: 65 minutos de espera em fila garantem indenização a cliente do #BancodoBrasil  http://t.co/XlXIxS0hmi
Neutro;Photo: Confraternização do Banco do Brasil, no sábado passado. #bancodobrasil #zoombeatles (em Estância... http://t.co/qJHCWjpqSX
Neutro;Photo: Confraternização do Banco do Brasil, no sábado passado. (foto de fãs) #bancodobrasil #zoombeatles http://t.co/8gA9MdPgCu
Neutro;FESTINHA do trabalho! :3 #bancodobrasil http://t.co/d1I8SO0MO8
