OPINIAO;EMPRESA;SERVIÇO;POSSIBLY_SENSITIVE_IS_CORRECT;LOCAL_CIDADE;LOCAL_ESTADO;LOCAL_PAÍS;SEXO_USUÁRIO;id_str;possibly_sensitive;created_at;source;retweet_count;favorite_count;tweet;user_description;user_screen_name;user_followers_count;user_name;user_location;place_country_code;place_country;place_full_name;place_place_type;place_name
Irrelevante;American Express;Propaganda;False;;São Paulo;Brasil;Não se aplica;3,95898E+17;false;Thu Oct 31 12:59:34 +0000 2013;"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>";0;0;A vida fica melhor c/ benefícios exclusivos. Peça um Cartão American Express® e aproveite! #benefíciosexclusivos http://t.co/jhTBwTmkOk;Este é mais um canal pra você acompanhar nossas novidades e saber mais sobre nossos produtos e serviços. Siga com a gente!;Bradesco;47255;Banco Bradesco;São Paulo - Brasil;;;;;
Positivo;Banco do Brasil;;Sim;;;;Não se aplica;3,85824E+17;false;Thu Oct 03 17:49:09 +0000 2013;web;0;0;Obrigada pela homenagem ao #casamentoigualitario , @BancodoBrasil @BancoDoBrasil7  !! Vejam aqui: http://t.co/4hICRrgnrW ! Muito bom!;;homofobiaNAO;19844;Diga Não à Homofobia;;;;;;
Positivo;Banco do Brasil;;;Cuiabá;Mato Grosso;Brasil;Feminino;3,87229E+17;;Mon Oct 07 14:54:03 +0000 2013;web;0;0;O #BancoDoBrasil já me deixou uma mensagem de parabéns. O 1º.;Namorada do @victorduartee , Acadêmica de Letras e Profª na ext.de Francês na #UFMT, 19 anos. #Apaixonada #FilhaDeDeus #Feliz.;thaygazziero;753;Thaisa Gazziero;Cuiabá/Brasil;;;;;
Positivo;Banco do Brasil;Propaganda;False;São Paulo;São Paulo;Brasil;Não se aplica;3,90888E+17;false;Thu Oct 17 17:10:57 +0000 2013;web;0;0;Bora ser seu próprio chefe, trabalhar com esportes e ganhar 20 mil reais? A #InterU e o @BancoDoBrasil explicam como: http://t.co/ZgbqthSluF;A sua rádio onde você estiver.;transamericapop;81650;Rádio Transamérica;São Paulo/SP;;;;;
Positivo;Banco do Brasil;Banco;True;;;Brasil;Feminino;3,9124E+17;false;Fri Oct 18 16:30:19 +0000 2013;web;0;0;HAHAHAHA @BancodoBrasil maravilhoso!!!! http://t.co/mscHrnWiA4;repórter, pós-graduada em história antiga da Grécia pela @UAM_Madrid, eventual crítica de cinema do @posfacio, nerd, amante de futebol, música boa e doces.;mairagiosa;443;me chama de lois;;;;;;
Positivo;Banco do Brasil;Banco;;;;Brasil;Masculino;3,97148E+17;false;Sun Nov 03 23:47:17 +0000 2013;web;0;0;Parabens ao @BancodoBrasil #circuitobancodobrasil por um evento desse nivel! Esse banco tem historia no esporte! http://t.co/GBHjhVCIxu;;pedrobarrossk8;13726;Pedro Barros RTMF;Brasil;;;;;
Positivo;Banco do Brasil;Banco;;Rio de Janeiro;Rio de Janeiro;Brasil;Masculino;3,99525E+17;;Sun Nov 10 13:13:16 +0000 2013;web;0;0;PARABÉNS AO #BANCODOBRASIL, ORGANIZAÇÃO IMPECÁVEL, NENHUM ARTISTA ATRASOU A APRESENTAÇÃO, ALGUNS COMEÇARAM ATÉ ANTES!;Cristão, Tecladista, Vascaíno! E Namorado da @DesirreSoares_ s2;DaanielAguiar;698;#EuAcreditoVasco;Brazil - Rio de Janeiro - RJ;;;;;
Positivo;Banco do Brasil;Banco;;;;Brasil;Masculino;4,03904E+17;;Fri Nov 22 15:11:14 +0000 2013;web;0;0;n consigo acreditar que o extrato em pdf do #bb é melhor que o do #itau, muito ruim o extrato gerado pelo #itau #fail;Developer java, angularjs, agile;camilolope;418;camilo lopes;Brazil;;;;;
Neutro;Banco do Brasil;;;Petrópolis;Rio de Janeiro;Brasil;Masculino;3,85929E+17;N;Fri Oct 04 00:45:52 +0000 2013;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";0;0;"Pessoal, vocês viram o post do #BancodoBrasil Consórcio de Serviços falando da ""mãozinha"" que podemos ter para... http://t.co/robN1hL9RI";É o cara da foto ao lado;Nettinhos;382;João Geraldo Netto;Petropolis, Rio de Janeiro;;;;;
Neutro;Banco do Brasil;;;Olinda;Pernambuco;Brasil;Masculino;3,85951E+17;N;Fri Oct 04 02:15:28 +0000 2013;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";0;0;#ZecaBaleiro cantou #ZéRamalho #Recife #Pernambuco #BancoDoBrasil http://t.co/xOr0693XjN;Filho de DEUS, esposo de @Joana_Barros e jornalista;fbcalvarenga;389;Fernando Alvarenga;Brasil, Pernambuco, Olinda.;;;;;
