opiniao;tweet
Positive;Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
Positive;Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
Positive;@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
Positive;The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
Positive;Great up close & personal event @Apple tonight in Regent St store!
Positive;From which companies do you experience the best customer service aside from @zappos and @apple?
Positive;Just apply for a job at @Apple, hope they call me lol
Positive;Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
Positive;RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!
Positive;Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
Positive;Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!
Positive;你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
Positive;Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”
Positive;Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.
Positive;@DailyDealChat @apple Thanks!!
Positive;iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
Positive;@apple @siri is efffing amazing!!
Positive;"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
Positive;"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
Positive;"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

"
Positive;We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
Positive;---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
Positive;RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
Positive;I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
Positive;@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
Positive;"At the bus with my iPhone ;) thxx @apple"
Positive;@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.
Positive;NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
Positive;@apple @Positive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
Positive;"@bkad5161 than apologize to @apple ;)"
Positive;@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
Positive;"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI"
Positive;Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
Positive;Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
Positive;Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
Positive;#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple
Positive;Well at least the @apple store has amazing call waiting music! #need4s
Positive;#sweet... #apple replaced my glass #probono. thank you @apple
Positive;Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
Positive;loving new technology from @apple iPhone 4s, mac air and iCloud are Neutral #technology
Positive;I'm loving this new IOS5 update :) @apple
Positive;Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
Positive;Thank you @apple. My new gf(iphone4s) is great!  She does everything!
Positive;#iCloud set up was flawless and works like a champ! To the Cloud @Apple
Positive;@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
Positive;@apple loving the new IOS5 upgrade for the iPhone!
Positive;Once again getting great customer service from the @apple store at millenia mall.
Positive;Is it just me or is #iOS5 faster for the iPad? @apple
Positive;making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
Positive;So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
Positive;Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
Positive;So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
Positive;@Apple Safari Reader owns the worldwide web
Positive;I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
Positive;Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
Positive;Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)
Positive;i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
Positive;Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w
Positive;4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!
Positive;.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
Positive;I just sent my grandma a post card using my #CardsApp thanks @Apple
Positive;"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive."
Positive;God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)
Positive;Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
Positive;Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
Positive;One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
