opiniao;tweet
Neutral;RT @TodosGronchos: 4.Denme una mano con RT para exigir q @lanacioncom retire la foto y respete el derecho a la intimidad de @MariaviicTorii…
Neutral;RT @jlespert: Los que han hecho negocios hasta con los desaparecidos, tranzan ahora con el dinero negro y se roban todo. Cierra. Son la mis…
Neutral;Página/12 - Un Consejo designado por el voto http://t.co/5xUw2L2oiQ
Neutral;5.@lanacioncom Exijo que retires de tus servidores la foto de José Barnetche, papá de @MariaviicToriia muerto en la inundación de La Plata.
Negative;Qué se viene después de Maduro? Todo podrido!!!!!!!!
Positive;Lo que me hizo reir gastón, no tiene nombre...
Neutral;RT @DsDiarios: Insólito protagonismo de Lanata en la tapa de Clarín: 12 menciones en los últimos 30 días http://t.co/24tLhBPowD
Negative;No quiero recaer, pero lo necesito.
Neutral;Estoy en el Hospital de Niños de La Plata, en una asamblea con los afiliados y a entregar los certificados del curso a los Cros de limpieza
Neutral;RT @SALADEPRENSANET: LE ESTABAN ROBANDO EN EL TREN, CAYO EN LAS VIAS DEL TREN, SE SALVO… SU HISTORIA http://t.co/2xH8h6LiMZ vía @SALADEPREN…
Neutral;"""@elkaiser63: Si River desciende de nuevo, lo peor de todo no seria el descenso, seria que Sir Pep Almeydola SERIA EL DT DE NUEVO."""
Negative;@alegermino Dominguez repite una floja actuacion y es preocupante ya, lento y a destiempo, sabia tapa todos los baches defensivos.
Negative;Tengo miedo de que nunca mas me vuelva a salir amar.
Negative;RT @clarincom: En unas 40 discos porteñas se fuma aunque está prohibido http://t.co/A94PKy06BA
Neutral;RT @Sofitaresco: @BeluFranceschi @MilenaBuonfrate LA DESCA TOMA EL PODER, Maduro nos reconoció antes que a todos.
Neutral;@rominamanguel Es decir: a) Premio y Castigo + b) Auto-reflexión + c) Explicación + d) Mirada reprobatoria + e) Ausencia de gritos = ...
Neutral;Le asustan los ruidos y tambien la tranquilidad, le gustan los mimos pero respira soledad
Negative;RT @cronicaweb: Veinte kilos de cocaína http://t.co/gJlZQkhQkw #ElNarigónDelBarranco #NarigónDelSiglo #PegadoALaRaya #EnTiposBlandosAhuecan…
Neutral;La Bombonera no tiembla, LATE ! !
Neutral;"RT @leomassafra: ""@AlboMiVida_web: #ChauOrgano"" y ahora?? De que nos disfrazamos?? Manejara el fútbol gente q no sabe de futbol??"
Neutral;Armas (inofensivas) hechas con plantas http://t.co/O9DxsBytG2
Neutral;RT @TodosGronchos: 5.@lanacioncom Exijo que retires de tus servidores la foto de José Barnetche, papá de @MariaviicToriia muerto en la inun…
Neutral;El alma de Discepolo sobrevuela el territorio argentino a lo largo y ancho, nos abraza nos palmea la espalda y nos dice: siglo XX cambalache
Neutral;"""En los próximos 45 días va a haber un informe sobre la cantidad de muertos de La Plata"" @MariottoOk Gabriel Mariotto en @Laoncediez"
Neutral;RT @TodosGronchos: 5.@lanacioncom Exijo que retires de tus servidores la foto de José Barnetche, papá de @MariaviicToriia muerto en la inun…
Negative;@EsterLinaLanzi @sergioranieri De la Sota ya lo sufre a Moyano y aun no cerraron una lista
Neutral;@DoctorTurko Son deformadores de criterios y opinión No nos olvidemos que a mucha gente le gusta el lío Si no preguntale al dueño de Cronica
Neutral;RT @Laurix73: Claro, como en FSOC se dedican a la sarasa, pueden decir sin ningún tipo de prurito que este gobierno es el que más ha hecho …
Negative;RT @gmagadan: 2011 muere Alicia Jurado, escritora arg. Autora de la 1er biografía de Borges, “Genio y figura”, c/quien co escribió “Que es …
Positive;Buen díaaa (:
Neutral;RT @RED92cadadiamas: Crece la indignación de miles de vecinos tras conocerse el rechazó del oficialismo en diputados para que se otorguen s…
Neutral;RT @TodosGronchos: 5.@lanacioncom Exijo que retires de tus servidores la foto de José Barnetche, papá de @MariaviicToriia muerto en la inun…
Neutral;RT @aledico Nunca voy a dejar de preguntarme, ¿para qué tenemos muelas de juicio?//Para q las dentistas tengan que sacarte, además de plata
Positive;Bueeeeeen día!
Negative;A juli le entran como 30 chotas, dos por cada agujero que tiene en su cuerpo #SeamosSinceros
Neutral;RT @TodosGronchos: 5.@lanacioncom Exijo que retires de tus servidores la foto de José Barnetche, papá de @MariaviicToriia muerto en la inun…
Neutral;"* Flor del 9 de mayo: Madre del buen consejo
Fiesta de Nuestra Señora de los Milagros

ORACIÓN INICIAL PARA... http://t.co/b3QHlfMCBP"
Neutral;Pilar es la POSTA!!!
Neutral;Últimos 2 dias para inscribirse en el curso virtual Políticas públicas y género: conceptos y herramientas que... http://t.co/iBUtebbY7w
Negative;LO UNICO QUE FALTARIA ES QUE CRISTINA DIGA Q ES CHAVISTA, YA LO ES... PERO QUE LO DIGAAA #BECERROS
Neutral;@claudiapineiro A mí 10 mangos por un dólar no me los sacás ni muerta.
Positive;Un día como hoy hace un año La Cámara de Senadores de la Nación aprobaba por unanimidad la Ley de Identidad de Género.#OrgullosodemiPais
Negative;Y es cierto loco soltero=no te da bola nadie, esta de novia=viene el chico más lindo del mundo a decirte que le des bola etc LA VIDA ES PUTA
Neutral;@PrensaTemperley ya esta confirmado el dia y horario del partido contra Chaca?
Negative;52 usuarios que sigo no me siguen de vuelta en Twitter. Entérate de quién no te sigue de vuelta http://t.co/DpyWsVzSq5
Neutral;RT @TodosGronchos: 5.@lanacioncom Exijo que retires de tus servidores la foto de José Barnetche, papá de @MariaviicToriia muerto en la inun…
Neutral;Coca Cola dejará de dirigir sus acciones de marketing y publicidad a menores de 12 años http://t.co/GIuZUWx1RK
