pt;eng;es
seguidores;followers;seguidores
betalab;betalab;betalab
operacaobetalab;operacaobetalab;operacaobetalab
blablablametro;blablablametro;blablablametro
retribuo;retribution;venganza
sigam;follow;seguir
timbetalab;timbetalab;timbetalab
globo;globe;globo
paulista;paulista;Español
sabado;Saturday;sábado
br;br;br
at;at;a
partiu;left;izquierda
aparece;appears;aparece
bike;bike;bicicleta
senha;password;contraseña
job;job;trabajo
entendi;got it;lo tengo
aussie;aussie;australiano
teamanittaal;teamanittaal;teamanittaal
saopaulo;Sao Paulo;San Pablo
treino;training;formación
produaao;produaao;produaao
happy;happy;contento
sejogavempraclarovema;It was a nightmare;Fue una pesadilla
sorte;kind;tipo
real;real;real
tb;tb;tb
nicos;nicos;nicos
ei;No;No
daovidas;daughters;hijas
skylive;skylive;skylive
nflnaespn;nflnaespn;nflnaespn
funkyfunkyboomboom;funkyfunkyboomboom;funkyfunkyboomboom
beta;beta;beta
bilhaes;bilhaes;bilhaes
friends;friends;amigos
trabalhoa;job;trabajo
marina;marina;marina
libera;free;gratis
nestertweets;nestertweets;nestertweets
pryoliveira;prriolibera;prriolibera
corte;cut;cortar
desbloquear;to unlock;para desbloquear
abro;I open;yo abro
crescimento;growth;crecimiento
mandoubem;nice job;buen trabajo
duplo;double;doble
ad;ad;para
leojaime;we cry;Nosotros lloramos
