pt;eng;es
parab�ns;congratulations;felicitaciones
eunoteleton;eunoteleton;eunoteleton
parte;part;parte
social;social;social
resolveu;resolved;resuelto
perfeito;Perfect;Perfecto
rapidinho;quickly;con rapidez
tima;team;equipo
resolvido;sorted out;resuelto
sucesso;success;éxito
aaao;aaao;aaao
pt;pt;para
rapido;rapid;rápido
teletonoficial;teletonoficial;teletonoficial
perfeita;perfect;Perfecto
time;time;hora
evento;event;evento
casal;couple;Pareja
solucionado;solved;resuelto
externa;external;externo
indico;indicate;indicar
excelente;Excellent;Excelente
jermbebado;jermbebado;Español
elogiar;praise;alabanza
louvavel;luvabel;luvabel
breve;short;corto
curti;like;me gusta
eficiaancia;eficiaancia;eficiacia
sigo;I follow;Yo sigo
urrul;urrul;urrul
chegar;to arrive;llegar
enfim;finally;finalmente
prio;prion;prion
princesa;Princess;Princesa
sensacional;sensational;sensacional
juntos;together;juntos
presentao;presentation;presentación
gratis;free;gratis
nega;care;que
hdtv;hdtv;hdtv
responsabilidade;responsibility;responsabilidad
interu;Inter;Enterrar
socialup;socialup;socialup
esportes;sports;Deportes
achei;I found;encontré
feita;made;hecho
priiiincesa;prize;premio
chefe;boss;jefe
liinda;too close;demasiado cerca
melhores;best;mejor
