opiniao;tweet
Neutral;@Stephan535 @tob1i Echnaton. Jaja. Alter Hut.
Negative;@TuT_Parody so einen Rasen hätte sich Hoeneß damals beim DFB Pokal Halbfinale auf Schalke gewünscht!
Neutral;RT @heisec: Apples iCloud verschickt und empfängt Mail im Klartext http://t.co/sOy42BVAGv #iCloud #NSA
Positive;@Stephan535 @tob1i Das macht doch mal Spass hier. #Untertanen #grins
Positive;"@tob1i @Stephan535 #Zeus ist mein Angestellter, Kinners ;)"
Positive;"@kopfding Pass bloß auf!!! ;)"
Negative;@kopfding @Stephan535 Es gibt nichts antikeres als Stephan. Das ist ein allgemein anerkannter Fakt.
Positive;"@tob1i Was anerkannt ist, bestimme aber ich, mein Padawan ;)"
Positive;"@tob1i Was anerkannt ist, bestimme aber ich, mein Padawan ;)"
Negative;Abstiegsangst! - Kind will mit Korkut sprechen http://t.co/AvNRNmzXEN #H96
Positive;Endlich mal wieder eine herrlich spaßige Diskussion hier. So macht das doch Spaß. :-)
Positive;@kopfding @KleinePfeife @tob1i Nacht!
Positive;@kopfding @KleinePfeife @Stephan535 So schlafe er gut!
Positive;@tob1i Ich Danke euch..
Positive;@tob1i Ich Danke euch..
Neutral;RT @BILD_Hannover: Abstiegsangst! - Kind will mit Korkut sprechen http://t.co/2YgNVHb5M1
Neutral;"Respektvolle Unternehmenskultur macht den Unterschied - Heute:&amp;nbsp;Bettina... http://t.co/TJG2OfO1Ma"
Neutral;Phänomen #Raab! #SdR
Neutral;Meine Tochter versucht schon wieder, mich zu verwirren. http://t.co/aaZrPX5vmv
Positive;@ausminternet mein Held :)
Neutral;"Michael hat schon so geguckt nach dem Motto: ""Scheisse"" #BlamierenoderKassieren #SdR @ProSieben"
Positive;"Gute Nacht, Gemeinde.

Und träumt alle was schönes. :-)"
Positive;"@FrankBuschmann ach mach es trotzdem. Winter ist ja vorbei ;)"
Neutral;@asbeck_marvin Chill, chill :D schon am pennen? :D
Negative;RT @MichaelJur: Man sollte niemals beim einkaufen twittern. Jetzt steh ich an der Kasse, und im Wagen habe ich Milch und ein unbekanntes Ba…
Positive;RT @MichaelJur: Man sollte niemals beim einkaufen twittern. Jetzt steh ich an der Kasse, und im Wagen habe ich Milch und ein unbekanntes Ba…
Positive;Freut mich, die Bekanntschaft von Isabella Bellini zu machen! http://t.co/QVPKlhrRJ3 #iPad #iPadGames #GameInsight
Positive;Freut mich, die Bekanntschaft von Gustav Van Walross zu machen! http://t.co/QVPKlhrRJ3 #iPad #iPadGames #GameInsight
Positive;@lisablueair Tschuldigung ich war zu früh, du warst ja noch nicht fertig 😊
Positive;@derManu1979 bin gerade dicht vom Taxi gekommen, von wegen Clean :D
Positive;@lisablueair ich weiß,  die Erfahrung habe ich auch schon gemacht 😏
Positive;@lisablueair wenn du das dann noch mit Humor nimmst,  alle Achtung 😁
Negative;@derManu1979 ja, klar... Aber ich bin von #Android nicht überzeugt. Außerdem gefallen mir die Plastikgehäuse von Samsung nicht. Wenn HTC
Positive;@lisablueair Stimmt und weise bist du auch noch...
Positive;@lisablueair Stimmt und weise bist du auch noch...
Neutral;RT @MichaelJur: Man sollte niemals beim einkaufen twittern. Jetzt steh ich an der Kasse, und im Wagen habe ich Milch und ein unbekanntes Ba…
Neutral;RT @MichaelJur: Ach übrigens, Frauen können es hören, wenn du am Handy mit den Augen rollst!
Neutral;RT @heiseopen: Linux in München wird zum Wahlkampfthema http://t.co/k8ycRx5sAX #öffentlicheVerwaltung #Linux
Neutral;"http://t.co/RWsZO7jywJ ""Сток-фотография:: Hannover Rathaus And Frozen Maschteich At Winter Night. 360 Degree Panorama."" на Shutterstock"
Negative;@dermanu1979 genau. dann gibts dosenfutter von Maggi
Neutral;@dermanu1979 genau. dann gibts dosenfutter von Maggi
Neutral;RT @t3n: Content-Marketing: Der Starter-Guide für deine erste Kampagne http://t.co/dk0cKMdIrV
Positive;@FrazzleRat Alles gute, dear Ratte :D
Neutral;"Cleithracara maronii: Hallo,

hier mal ein paar Fotos von Cleithracara maronii (Maronibuntbarsch).

So weiß de... http://t.co/GrE6hAAJjL"
Neutral;"Cleithracara maronii: Hallo,

hier mal ein paar Fotos von Cleithracara maronii (Maronibuntbarsch).

So weiß de... http://t.co/GrE6hAAJjL"
Neutral;"Abstimmung Bild des Monats Februar 2014: Hallo,

in diesem Monat stehen 5 Bilder zur Wahl, jeder ""Registrierte... http://t.co/KCxn69xFF5"
Neutral;Aulonocara - Buntbarschinfo.de http://t.co/Uk7CEtVuxv
Neutral;Abstimmung Bild des Monats Februar 2014 - Buntbarschinfo.de http://t.co/DVSL4gKQ3f
Negative;Wer nicht weiß, was das bedeutet: mich macht da etwas richtig fertig. http://t.co/OtRgwutWtB
Positive;@ Zentrum der Galaxie - ...liftoff !
Positive;Sind wir sweet #hahaha #süßekids #peace #lol #drunk #inlove #voll #vollgewesentollgewesen… http://t.co/pwIddptN2b
Neutral;HRC #Gig: CÄTHE with Jonathan Kluth, Tv Noire Konzerte 11, and Jonathan Fluth at Pavillon H... http://t.co/nlNJXYnNTw #hannover #gigbook
Positive;RT @MichaelJur: Meine Frau wollte eine Katze, ich wollte keine! Kompromiss geschlossen! Wir haben jetzt ne Katze!
Negative;@dermanu1979 ja, jedem das seine. der krieg zwischen samsung und apple wird sowieso nie aufhören
Negative;@goebelmasse sei froh das du englisch kannst - im gegensatz zu einigen muttersprachlern http://t.co/5B8L9XenE1
Positive;Linden #beste
Positive;RT @MichaelJur: Männer haben keinen Kleiderschrank, sondern einen Stuhl neben dem Bett.
Neutral;Ich stehe mit einem Müllsack bekleidet auf der Straße, telefoniere und die Polizei fragt mich ob bei mir alles ok ist...
Positive;Ich stehe mit einem Müllsack bekleidet auf der Straße, telefoniere und die Polizei fragt mich ob bei mir alles ok ist...
Positive;RT @MichaelJur: Männer haben keinen Kleiderschrank, sondern einen Stuhl neben dem Bett.
Positive;@8oundless Liebe! *-*
Neutral;Aber nicht zu mir......... http://t.co/mBGZ91YKFO
Negative;@Tobias_Reinwald Mangels Führerschein wohl kaum
Neutral;Galaxy S4 kleine Kratzer am ramen 350 € bei Interesse pn.
Neutral;Galaxy S4 kleine Kratzer am ramen 350 € bei Interesse pn.
Neutral;@Tobias_Reinwald Ja, ich hab nen Chauffeur… http://t.co/KK8Zb7Yzjn
Negative;Warum sind manche Menschen einfach total falschnett zu Dir und laden Dich nicht zum Geburtstag ein? Mögen sie Dich eigentlich doch nicht?
Negative;RT @MrStefan79: Netter Abend mit Freunden, fast alle gesehen aus der Südstadt! Aber nur fast! Ich prangere das an!
Positive;Ich habe ein @YouTube-Video von @einkochen positiv bewertet: http://t.co/c41HYuJqBS Gemüse Lasagne von einfachKochen - Rezept für
Positive;Ich habe ein @YouTube-Video von @einkochen positiv bewertet: http://t.co/c41HYuJqBS Gemüse Lasagne von einfachKochen - Rezept für
Positive;Ich habe ein @YouTube-Video positiv bewertet: http://t.co/dvmJfJF3fy Leckere
Positive;"Heute Abend gibt es
Buletten ❤️ich freue mich schon drauf ❤️
#essen"
Positive;Cheers!!! #Mädelsabend #fun #cocktails #Hannover mit @melli_traege @lovamig @Trini1080 http://t.co/g5e1QR7u8I
Neutral;Google-Wetter für Sonntag, 16.02.14: 22,9°C - Sonne mit Wolken
Neutral;Google-Wetter für Sonntag, 16.02.14: 22,9°C - Sonne mit Wolken
Negative;Crowdfunding-Plattform Kickstarter gehackt http://t.co/MFRMVosaMx #Crowdfunding
Neutral;RT @heisec: Crowdfunding-Plattform Kickstarter gehackt http://t.co/MFRMVosaMx #Crowdfunding
Neutral;Authentizität zahlt sich aus - Das Weblog als Dreh- und Angelpunkt digitaler Unternehmenskommunikation - acquisa... http://t.co/b68iG4ccDh
Positive;Tide Session: Nervling Sonntag 16.02.2014 um 23:30 Uhr | TV-Programm | 6215641 | tvmovie.de http://t.co/4KM6USMpgR
Neutral;Krise Römische Republik http://t.co/pWjOq4ZQHr
Neutral;Gute Nacht 😊
Positive;Gute Nacht 😊
Neutral;Ich habe ein neues Foto auf Facebook gepostet http://t.co/n5cenMQSv9
Neutral;Ich habe ein neues Foto auf Facebook gepostet http://t.co/Cu1wg2TcoK
Neutral;Auf einer Skala von 1 - 10 bin ich bei einer 3,5 würde ich sagen wenn es um den Status des betrunkenseins geht!
Positive;Auf einer Skala von 1 - 10 bin ich bei einer 3,5 würde ich sagen wenn es um den Status des betrunkenseins geht!
Negative;Meine Bahnfahrt von H nach G war geschmückt von betrunkenen rücksichtslosen polnischen Flaschensammlern und....
Positive;@WaldGeist76 Ja sicher das klappt auch bei einer 8! Aber heute war es wirklich unproblematisch!
Positive;@ZaSeppi schlaf gut :)
Neutral;RT @wuttigmedia: Verschiedene Blickwinkel für viele Kanäle - eine effiziente #Strategie für guten #Content? http://t.co/3DUu1sOyxA
Neutral;RT @wuttigmedia: Verschiedene Blickwinkel für viele Kanäle - eine effiziente #Strategie für guten #Content? http://t.co/3DUu1sOyxA
Positive;Danke 2013 - Hallo 2014 - Danke, Wünsche, Motivation, Liebe, Ziele, Zusammenhalt - Ich freue mich auf Sie... http://t.co/q6nIyEKkwv
Positive;Ich Liebe Dich einfach hart!!
