user;tweet;coordenadas;cidade;horario
Joao_Ricaardoo;Muito amor por esse set ❤️❤️❤️❤️ https://t.co/hICgE7Dlzn;;Apucarana, Brasil;2017-09-30 04:05:35
TalithaAbdo;Eu rindo com o nariz entupido é a coisa mais bizarra;;Apucarana, Brasil;2017-09-30 04:24:04
TalithaAbdo;AHHH LAVA A CARA;;Apucarana, Brasil;2017-09-30 04:29:51
TalithaAbdo;ME RESPEITA;;Apucarana, Brasil;2017-09-30 04:30:00
TalithaAbdo;Meu deus tem um bicho voador aqui no meu quarto, socorro;;Apucarana, Brasil;2017-09-30 04:44:02
TalithaAbdo;Sério gente, eu tenho mt pavor de bicho q voa;;Apucarana, Brasil;2017-09-30 04:46:53
__maribernardes;NAO AGUENTO MAIS AAAAA https://t.co/v3T68AoF7z;;Apucarana, Brasil;2017-09-30 05:03:46
btwvinichris;vc é muito apaixonante nene;;Apucarana, Brasil;2017-09-30 05:39:27
Anaa_Monteiro;Voltei, e quero matar um pessoa, com amigos assim pra que inimigos;;Apucarana, Brasil;2017-09-30 06:12:33
vinnygrassmann;"HYPEEEEEEEEEEEE
VAYNE IS MY MAIN";;Apucarana, Brasil;2017-09-30 06:30:21
vinnygrassmann;"@sshir0 WHATTTTTTTTTTTTTTTTTT
????????????????????????????????????????????????????????????";;Apucarana, Brasil;2017-09-30 07:12:15
vinnygrassmann;"so passando pra lembrar que gatos tem dentes.
@sshir0 https://t.co/9CK2udUm9k";;Apucarana, Brasil;2017-09-30 07:14:46
vinnygrassmann;"mano soloq é um inferno...
faz te tudo pra você NÃO JOGAR COM SEU MONOCHAMP.";;Apucarana, Brasil;2017-09-30 07:20:41
vinnygrassmann;mano vtnc serio, desisto da minha vida.........................................;;Apucarana, Brasil;2017-09-30 08:00:56
tay_brites;Indo pra londrina almoçar com meu nene @aninhaveronese que saudadiii;;Apucarana, Brasil;2017-09-30 11:05:39
tay_brites;Uma semana sofrendo por causa de sexta e no fim foi tudo certo graças a Deus. 🙏🙏;;Apucarana, Brasil;2017-09-30 11:06:55
rogerioecn;30º BI Mec completa 49 anos de existência https://t.co/iS1KPtcKfL;;Apucarana, Brasil;2017-09-30 11:29:50
__maribernardes;Vcs já assistiram o bts da semana????? Bruno Henrique falando parece que ta MORRENDO;;Apucarana, Brasil;2017-09-30 11:32:14
dudaspaulo;@vitthegreen @gabriellamrno @IsaBaquette Ih o meu foi faz tempo eim;;Apucarana, Brasil;2017-09-30 12:07:36
Petronio_C;Jogos da Juventude Josefina em Santuário São José Apucarana https://t.co/x6yNQhRF5Y;{u'type': u'Point', u'coordinates': [-51.44919082, -23.55334399]};Apucarana, Brasil;2017-09-30 12:19:37
CCA_CARLAO;https://t.co/84ggUqze3A;;Apucarana, Brasil;2017-09-30 12:19:53
CCA_CARLAO;Hj tem mais https://t.co/2XgBh67o0K;;Apucarana, Brasil;2017-09-30 12:20:36
TalithaAbdo;Bom diaaaaa sabaderaaaa;;Apucarana, Brasil;2017-09-30 12:37:05
TalithaAbdo;Tem umas pessoas q perdem a oportunidade de ficarem quietas né, SOCORRO 🙄;;Apucarana, Brasil;2017-09-30 12:37:55
amndolvr;"ontem eu acordei e pensei ""bom dia q seja louquíssimo"" e foi louquíssimo obrigada deus por isso";;Apucarana, Brasil;2017-09-30 12:45:55
yuriigoor;Hoje tem rave, ihu sorta nois rs;;Apucarana, Brasil;2017-09-30 12:49:15
yuriigoor;https://t.co/pxXxG1nFMU;;Apucarana, Brasil;2017-09-30 12:51:05
yuriigoor;Baguio loco tiu kkkk;;Apucarana, Brasil;2017-09-30 12:51:14
__maribernardes;Nossa mas tomara q até a noite esteja uns 30º rsrs;;Apucarana, Brasil;2017-09-30 12:55:20
yuriigoor;Quase lá uhuu https://t.co/BOXx26bVaj;;Apucarana, Brasil;2017-09-30 12:59:36
ilgweb;@ge_saopaulo Deixa hudson lá e traz Fábio goleiro kkkk;;Apucarana, Brasil;2017-09-30 13:00:05
__maribernardes;Cada dia um choro diferente por se importar TANTO.;;Apucarana, Brasil;2017-09-30 13:25:17
__maribernardes;E mesmo longe eu não deixei de te amar, e as diferenças vamo deixar p lá, eu to aqui agora e cadê você??;;Apucarana, Brasil;2017-09-30 13:49:16
dudaspaulo;Brócolis é melhor que muita gnt por aí;;Apucarana, Brasil;2017-09-30 13:57:47
dudaspaulo;DEUS ME DIBRE https://t.co/y4cHZ8dLQu;;Apucarana, Brasil;2017-09-30 14:00:35
CCA_CARLAO;@Estadao Má interpretação é achar que este jornal teria bom senso, deixando de seguir vcs!!!;;Apucarana, Brasil;2017-09-30 14:00:45
dudaspaulo;Tem dias que meu irmão acorda já pedindo pra apanhar;;Apucarana, Brasil;2017-09-30 14:06:39
MeuMeninaoLS_PR;BOM DIA BEBEZINEOOOO @luansantana #MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe;;Apucarana, Brasil;2017-09-30 14:18:57
MeuMeninaoLS_PR;"VAMO ACORDA ESSE PREDIOOOOO
#MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe";;Apucarana, Brasil;2017-09-30 14:19:14
MeuMeninaoLS_PR;"FAZE INVEJA PRO POVOOOO
#MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe";;Apucarana, Brasil;2017-09-30 14:19:27
MeuMeninaoLS_PR;ENQUANTO ELES TAO INDO INDO TRABALHA #MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe;;Apucarana, Brasil;2017-09-30 14:19:41
MeuMeninaoLS_PR;"A GNT FAZ AMOR GOSTOSO DNV 
#MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe";;Apucarana, Brasil;2017-09-30 14:19:55
MeuMeninaoLS_PR;COM QUANTOS ELOGIOS VC VAI FICA VERMELHAAAAAAA #MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe;;Apucarana, Brasil;2017-09-30 14:22:01
MeuMeninaoLS_PR;"""vc viu que o Luan Santana cortou o cabelo?"" GRANDE COISA EU SEI MTO MAIS DO QUE VC IMAGINAAAAAAA #MPN #LuanSantana #AcordandoOPredio";;Apucarana, Brasil;2017-09-30 14:23:24
btwvinichris;nunca façam nada em casa amigos https://t.co/QpOPqoQWcT;;Apucarana, Brasil;2017-09-30 15:12:19
btwvinichris;@bia_gomesc mano vc pintou o unico foninho q eu tinha de azul;;Apucarana, Brasil;2017-09-30 15:17:01
bucetalendaria;não sou gay;;Apucarana, Brasil;2017-09-30 15:27:44
dudaspaulo;Quando eu tirar carteira de motorista quero dirigir igual o Ansel Elgort em Baby Driver;;Apucarana, Brasil;2017-09-30 15:47:45
__maribernardes;Ela partiu, partiu e nunca mais voltou não voltou não não;;Apucarana, Brasil;2017-09-30 15:57:55
__maribernardes;Se souberem onde ela está digam-me q eu vou lá buscar;;Apucarana, Brasil;2017-09-30 15:58:21
DletGamer;"@BCajumutante fiquei com medo kkk queria ver como ele ia sair dela kk
e fiquei com dó do cavalo kakaka";;Apucarana, Brasil;2017-09-30 16:51:51
FrancoAllison16;@angelo_nog Caralho aí sim fio;;Apucarana, Brasil;2017-09-30 17:02:04
__maribernardes;Vcs já fizeram o papel de amiga pnc hj, meninas? Pq eu sim https://t.co/oa4zQbWhyH;;Apucarana, Brasil;2017-09-30 17:04:27
DletGamer;TAMO JUNTO DAVIZÃO s2 https://t.co/q8paqPRwWV;;Apucarana, Brasil;2017-09-30 17:39:38
willlw8;Votem por favor https://t.co/K2du6JkwHS https://t.co/uSNEgbKEJa;;Apucarana, Brasil;2017-09-30 17:59:39
PlyDx;Pruuf https://t.co/oZeUYz0V4h;;Apucarana, Brasil;2017-09-30 18:15:12
__maribernardes;AAAAAA EU SOU MT TROUXA KKKKKKKKK;;Apucarana, Brasil;2017-09-30 18:26:09
__maribernardes;Ceis já leram uma coisa e não acreditaram???;;Apucarana, Brasil;2017-09-30 18:29:22
avitormarx;"#BoaTarde ... #agua dona da #vida ouve esta #prece tão #comovida ...
#natural #natureza #cascata… https://t.co/t4CzQFy3od";{u'type': u'Point', u'coordinates': [-51.4608, -23.5508]};Apucarana, Brasil;2017-09-30 18:45:56
amndolvr;parem de reclamar de morar com os pais de vcs;;Apucarana, Brasil;2017-09-30 19:01:08
amndolvr;vcs n tem noçao de como é vida chegar em casa, ter almoço pronto, deitar no sofá e ver Nickelodeon o resto do dia SEM peso na consciência;;Apucarana, Brasil;2017-09-30 19:01:46
amndolvr;veio me falar que tava arrependida, mas era a vida que vc queria;;Apucarana, Brasil;2017-09-30 19:10:38
giovanamineo54;Se alguém quiser emprestar uma roupa pra mim ir em um aniversário to aceitando né @bia_gomesc;;Apucarana, Brasil;2017-09-30 19:17:11
cabergamaschi;Galerinha, trago a vocês mais um clip!! Agora... I Don’t Wanna Miss a Thing com minhas meninas lindas Belisa, Estefani e Cinthia.;;Apucarana, Brasil;2017-09-30 20:09:56
cabergamaschi;Galerinha, mais um clip lindo pra vocês. I don’t wanna miss a thing: https://t.co/ckIuFxy1IB 🤘🏻❤️;;Apucarana, Brasil;2017-09-30 20:10:37
cabergamaschi;Estúdio MAZ e Belisa Lucas Eventos. Grandes parceiras 🎹❤️ #EstudioMAZ #SejaMAZ;;Apucarana, Brasil;2017-09-30 20:11:11
ThomasHX;Aquele bigodjenho. em Apucarana https://t.co/IQieh96Kup;{u'type': u'Point', u'coordinates': [-51.4608, -23.5508]};Apucarana, Brasil;2017-09-30 20:12:37
Novinhaa_00;Metade do meu coração só quer te ver de novo e a outra só pensa em você;;Apucarana, Brasil;2017-09-30 20:35:21
Novinhaa_00;Estou aqui na varanda sentada sozinha escutando minhas bad;;Apucarana, Brasil;2017-09-30 20:38:25
netoleeo;Falei q ia estudar a tarde toda kkkk dormi;;Apucarana, Brasil;2017-09-30 20:51:19
dudaspaulo;"@TheBaka_Chan TA DE BRINCADEIRA NEH 
PLMDS QUE FALTA DE ORGANIZAÇÃO DO CARALHO";;Apucarana, Brasil;2017-09-30 21:01:18
samgentilin;@maremeira NÉ;;Apucarana, Brasil;2017-09-30 21:28:59
DletGamer;@wzgameshow eita. quando sai ?;;Apucarana, Brasil;2017-09-30 21:56:36
Novinhaa_00;Meu tio comprou askov ice para mim❤❤;;Apucarana, Brasil;2017-09-30 21:57:16
