user;tweet;coordenadas;cidade;horario
heloisaemili00;Que saudade de como meu cabelo era antes 😭;;Arapongas, Brasil;2017-09-30 04:08:03
heloisaemili00;Pior coisa que eu já fiz até hoje na vida foi pintar meu cabelo;;Arapongas, Brasil;2017-09-30 04:08:33
kaaroll_k;Não fui beber cervejas com os migos hoje pq sou filha única;;Arapongas, Brasil;2017-09-30 04:24:52
kaaroll_k;Nem gasto muito com as cervejas pq na terceira latinha eu já estou louca;;Arapongas, Brasil;2017-09-30 04:28:41
kaaroll_k;Não dá pra tirar fotos sem uma janela;;Arapongas, Brasil;2017-09-30 04:30:09
heloisaemili00;@Anaa_Garciaaa Mano tô muito felizzzzzzzzz;;Arapongas, Brasil;2017-09-30 04:39:16
heloisaemili00;Mano tô muito felizzzzzzzzzz;;Arapongas, Brasil;2017-09-30 04:40:07
_gabibiazon;Que vontade de tomar um vinho;;Arapongas, Brasil;2017-09-30 04:40:13
_gabibiazon;Aí que saudade do caramba que eu tô;;Arapongas, Brasil;2017-09-30 04:40:27
_gabibiazon;Vinho acompanhado de uns beijos;;Arapongas, Brasil;2017-09-30 04:42:21
heloisaemili00;Opa;;Arapongas, Brasil;2017-09-30 04:47:29
Naataliamendes_;Cheguei e to comendo lanche;;Arapongas, Brasil;2017-09-30 04:58:25
Naataliamendes_;Tomando água pensando que é um refrigerante cheio de gás;;Arapongas, Brasil;2017-09-30 04:58:52
_gabibiazon;Quando saírem comigo POR FAVOR não me ofereçam mais bebidas;;Arapongas, Brasil;2017-09-30 05:00:09
_gabibiazon;Então fica comigo meu!;;Arapongas, Brasil;2017-09-30 05:04:15
_gabibiazon;Já que me acha tudo isso carambaaaaaa;;Arapongas, Brasil;2017-09-30 05:04:33
_gabibiazon;Hoje no cerco uma mulher me deu um abraço que eu não recebia a anos;;Arapongas, Brasil;2017-09-30 05:05:56
_gabibiazon;Eu preciso de alguém comigo :/;;Arapongas, Brasil;2017-09-30 05:06:09
_gabibiazon;Tô chorando muito;;Arapongas, Brasil;2017-09-30 05:13:35
BeattriizMendes;Olá pessoas;;Arapongas, Brasil;2017-09-30 05:16:05
BeattriizMendes;Chego em casa não sei se estudo ou se durmo;;Arapongas, Brasil;2017-09-30 05:16:22
BeattriizMendes;O que era pra eu ter feito né em vez de sair;;Arapongas, Brasil;2017-09-30 05:16:50
AnaCapazorio;Kkk Cleópatra;;Arapongas, Brasil;2017-09-30 05:25:07
AnaCapazorio;Chega né mundo, Stop.                      No caminha more, calma world! Deu por today.;;Arapongas, Brasil;2017-09-30 05:27:05
pam_lourenco;essa love song do Pelé Milflows tá pra chorar;;Arapongas, Brasil;2017-09-30 05:36:28
miicapatoo;@AnnaPaula2294 @NayeneC aaa ksokaoaksokaoaksoaks;;Arapongas, Brasil;2017-09-30 05:39:05
miicapatoo;@AnnaPaula2294 ameei kkkkkkkkkkkkk;;Arapongas, Brasil;2017-09-30 05:39:37
pam_lourenco;é que eu te amo baby, amo tanto baby;;Arapongas, Brasil;2017-09-30 05:42:21
pam_lourenco;a vida te dói mas foi o melhor, tinha que ser desse jeito;;Arapongas, Brasil;2017-09-30 05:45:46
pam_lourenco;então vai já que é o melhor pra você;;Arapongas, Brasil;2017-09-30 05:46:36
pam_lourenco;faz dois dias que não vejo minha mãe, tô com saudadinha;;Arapongas, Brasil;2017-09-30 06:03:55
BeattriizMendes;Cadê meu sono?;;Arapongas, Brasil;2017-09-30 06:28:59
foi_o_onan;Quero ver qm n ta aqui;;Arapongas, Brasil;2017-09-30 07:28:45
foi_o_onan;Vamos pensar em coisas produtivas tipo acender um incenso no quarto enquanto escuta reggae;;Arapongas, Brasil;2017-09-30 07:50:50
duuubom;6:28 da manhã de sábado e eu acordado, sem sono;;Arapongas, Brasil;2017-09-30 09:29:09
duuubom;No meio da semana eu luto todos os dias pra dormir mais 5 min e hoje que posso ficar até tarde, eu faço oq?;;Arapongas, Brasil;2017-09-30 09:30:12
duuubom;Vai entender;;Arapongas, Brasil;2017-09-30 09:30:22
AnaCapazorio;Daq a pouco já to conhecendo o prever de ponta a ponta;;Arapongas, Brasil;2017-09-30 10:33:53
AnaCapazorio;Se for pra ter fome e n ter dor de cabeça eu nem teria nascido;;Arapongas, Brasil;2017-09-30 10:43:17
AnaCapazorio;TUDO QUE EU PRECISAVA https://t.co/ztkMmkalXd;;Arapongas, Brasil;2017-09-30 10:44:54
Naataliamendes_;Bom dia;;Arapongas, Brasil;2017-09-30 11:07:25
Naataliamendes_;https://t.co/SUGYhTxSjX;;Arapongas, Brasil;2017-09-30 11:09:05
batista_juvenal;Golaço https://t.co/70JtADtZiU;;Arapongas, Brasil;2017-09-30 11:16:17
BeattriizMendes;Eu deveria ter dormido mais cedo;;Arapongas, Brasil;2017-09-30 11:48:55
BeattriizMendes;Bom dia? Talvez;;Arapongas, Brasil;2017-09-30 11:49:15
robersonzz;I'm at @CCAAOficial in Arapongas, PR https://t.co/zJ2eSI7Ecq;{u'type': u'Point', u'coordinates': [-51.43565644, -23.41518603]};Arapongas, Brasil;2017-09-30 11:53:18
Andrew08_;Bom dia...;;Arapongas, Brasil;2017-09-30 11:54:50
thaisllara;Estamos recuperados de ontem? Eu não sei se estou;;Arapongas, Brasil;2017-09-30 11:57:14
BeattriizMendes;Eu to morrendo de sono;;Arapongas, Brasil;2017-09-30 13:32:40
_beagarcia;Devo ser muito otária mesmo;;Arapongas, Brasil;2017-09-30 13:34:59
BeattriizMendes;Tem que ser comemorado https://t.co/pumnZyhcz3;;Arapongas, Brasil;2017-09-30 13:55:10
BeattriizMendes;E 12h que não chega nunca;;Arapongas, Brasil;2017-09-30 13:57:18
calupavital;Adorei minha fantasia do trote;;Arapongas, Brasil;2017-09-30 14:12:53
thaisllara;@cyqCtmJnsWCbRsa Obrigado xuxu;;Arapongas, Brasil;2017-09-30 14:16:28
