user;tweet;coordenadas;cidade;horario
TorquatoNataly;n queria que chovesse amanhã;;Colombo, Brasil;2017-09-30 03:57:34
action_kau;Queria conhecer umas pessoas novas bem legais;;Colombo, Brasil;2017-09-30 03:57:38
TorquatoNataly;chuva da vontade nem de sair da cama 😴😴😴;;Colombo, Brasil;2017-09-30 03:58:03
action_kau;Semana que vem vou ir no médico;;Colombo, Brasil;2017-09-30 03:59:13
action_kau;Tá na hora já fazer uns exames;;Colombo, Brasil;2017-09-30 03:59:33
action_kau;Eu tô de Deus tbm https://t.co/V7K5zvAw3B;;Colombo, Brasil;2017-09-30 04:06:52
cecilia_bs;Meus amigos na balada e eu olhando pro ser gostoso do meu namorado dormir, tem coisa melhor 😍;;Colombo, Brasil;2017-09-30 04:17:10
action_kau;Não gosto de borboleta;;Colombo, Brasil;2017-09-30 04:28:18
kah_fm;Tomei codeina pra dor, bateu um sono agr que meu Deus;;Colombo, Brasil;2017-09-30 04:29:08
action_kau;Me dá medo kk;;Colombo, Brasil;2017-09-30 04:29:24
jujubaverde_;fui na igreja e voltei com a língua azul kakakakaka;;Colombo, Brasil;2017-09-30 04:30:53
jujubaverde_;tem lugar melhor pra ir na sexta a noite do que onde tem pizza e geladinho????? amo tanto;;Colombo, Brasil;2017-09-30 04:31:48
viesque_;Tô muito viciada na música do João,💛;;Colombo, Brasil;2017-09-30 04:35:47
Hbriiele;To assistindo harry potter 💙;{u'type': u'Point', u'coordinates': [-49.20151722, -25.36575376]};Colombo, Brasil;2017-09-30 04:37:06
jujubaverde_;@DiegoMiranda__ Bochechas doendo superrrrrrr!!!!!!!;;Colombo, Brasil;2017-09-30 04:38:04
Jowwwef;Jamais aprenderás a dormir cedo. Amém.;;Colombo, Brasil;2017-09-30 04:43:16
Jowwwef;Jamais apreenderás a dormir cedo e se foderás no dia seguinte. Amém.;;Colombo, Brasil;2017-09-30 04:44:27
luvsobi;finalmente hj choveu bastante ameeem;;Colombo, Brasil;2017-09-30 04:44:37
kah_fm;Vem comigo, lady;;Colombo, Brasil;2017-09-30 04:53:37
