user;tweet;coordenadas;cidade;horario
itsniallsun;eu analisando prints https://t.co/xmvYEUlxXZ;;Toledo, Brasil;2017-09-30 03:56:26
Eoqmarques;@mcpvalente @launcastro @pecesiqueira Morri também kkkk :(;;Toledo, Brasil;2017-09-30 03:59:04
ComeAt_MeBrou;Minha noite vai ser jogar um game;;Toledo, Brasil;2017-09-30 03:59:25
TLeubet;Se tem uma coisa que eu aprendi é que não se deve guardar rancor das pessoas;;Toledo, Brasil;2017-09-30 04:00:06
Eoqmarques;@mcpvalente @launcastro @pecesiqueira Siiiiiiim eu fico muito puto com isso;;Toledo, Brasil;2017-09-30 04:01:54
heymatheus7;Só queria ela do meu lado agora;;Toledo, Brasil;2017-09-30 04:06:15
itsniallsun;eu acho que a chamito me odeia;;Toledo, Brasil;2017-09-30 04:11:42
violetha;se eu tivesse bebido hoje não tinha visto cara de casal com uma e pegando outra escondido dando 2 passos e pegando de novo a 1ª guria;;Toledo, Brasil;2017-09-30 04:14:06
violetha;Beber é bom, estaria dançando loucamente e não me indignando com essas cenas;;Toledo, Brasil;2017-09-30 04:14:26
violetha;Falo que esses roles sempre dão alguma zica...;;Toledo, Brasil;2017-09-30 04:15:06
manuelabedendo;Só agora que já respondi o menino que lembrei que estou brava com ele, bosta, agora já foi;;Toledo, Brasil;2017-09-30 04:27:18
adrielylb;Chorando e tomando Rivotril, sextou;;Toledo, Brasil;2017-09-30 04:34:41
ComeAt_MeBrou;Final de noite desanimador;;Toledo, Brasil;2017-09-30 04:35:22
adrielylb;Agora que eu fico longe desse menino, é muita mina sebosa na vida do tal não da;;Toledo, Brasil;2017-09-30 04:36:08
adrielylb;Da pra ouvir a porra do show do Henrique e Juliano daqui, morram tudo;;Toledo, Brasil;2017-09-30 04:37:05
adrielylb;Sorry https://t.co/krqCaRBbcN;;Toledo, Brasil;2017-09-30 04:38:25
leehenrique;Hoje vai ter Surra de Snap nesse Show !;;Toledo, Brasil;2017-09-30 04:44:04
manuelabedendo;Eu odeio quando eu quero dormir mas não tenho sono;;Toledo, Brasil;2017-09-30 04:47:07
JullianaGomees;Eu devo tá com uma solitária na barriga;;Toledo, Brasil;2017-09-30 04:57:14
wuevertonc;https://t.co/oAYgoscabR;;Toledo, Brasil;2017-09-30 05:00:44
JullianaGomees;Tô escutando o show do henrique e juliano daqui bixo;;Toledo, Brasil;2017-09-30 05:00:47
JullianaGomees;Se eu pudesse te apagar da minha mente apagaria agoraaa;;Toledo, Brasil;2017-09-30 05:01:04
Graciellyba25;Eu não sei se estou mais enjoada ou com sono;;Toledo, Brasil;2017-09-30 05:03:51
