user;tweet;coordenada;cidade;horario;sentiment
Joao_Ricaardoo;Muito amor por esse set â¤ï¸â¤ï¸â¤ï¸â¤ï¸ https://t.co/hICgE7Dlzn;;Apucarana, Brasil;2017-09-30 04:05:35;0
TalithaAbdo;Eu rindo com o nariz entupido Ã© a coisa mais bizarra;;Apucarana, Brasil;2017-09-30 04:24:04;0
TalithaAbdo;AHHH LAVA A CARA;;Apucarana, Brasil;2017-09-30 04:29:51;-1
TalithaAbdo;ME RESPEITA;;Apucarana, Brasil;2017-09-30 04:30:00;0
TalithaAbdo;Meu deus tem um bicho voador aqui no meu quarto, socorro;;Apucarana, Brasil;2017-09-30 04:44:02;1
TalithaAbdo;SÃ©rio gente, eu tenho mt pavor de bicho q voa;;Apucarana, Brasil;2017-09-30 04:46:53;0
__maribernardes;NAO AGUENTO MAIS AAAAA https://t.co/v3T68AoF7z;;Apucarana, Brasil;2017-09-30 05:03:46;0
btwvinichris;vc Ã© muito apaixonante nene;;Apucarana, Brasil;2017-09-30 05:39:27;0
Anaa_Monteiro;Voltei, e quero matar um pessoa, com amigos assim pra que inimigos;;Apucarana, Brasil;2017-09-30 06:12:33;-1
vinnygrassmann;"HYPEEEEEEEEEEEE
VAYNE IS MY MAIN";;Apucarana, Brasil;2017-09-30 06:30:21;0
vinnygrassmann;"@sshir0 WHATTTTTTTTTTTTTTTTTT
????????????????????????????????????????????????????????????";;Apucarana, Brasil;2017-09-30 07:12:15;0
vinnygrassmann;"so passando pra lembrar que gatos tem dentes.
@sshir0 https://t.co/9CK2udUm9k";;Apucarana, Brasil;2017-09-30 07:14:46;-1
vinnygrassmann;"mano soloq Ã© um inferno...
faz te tudo pra vocÃª NÃO JOGAR COM SEU MONOCHAMP.";;Apucarana, Brasil;2017-09-30 07:20:41;-1
vinnygrassmann;mano vtnc serio, desisto da minha vida.........................................;;Apucarana, Brasil;2017-09-30 08:00:56;-1
tay_brites;Indo pra londrina almoÃ§ar com meu nene @aninhaveronese que saudadiii;;Apucarana, Brasil;2017-09-30 11:05:39;0
tay_brites;Uma semana sofrendo por causa de sexta e no fim foi tudo certo graÃ§as a Deus. ðð;;Apucarana, Brasil;2017-09-30 11:06:55;1
rogerioecn;30Âº BI Mec completa 49 anos de existÃªncia https://t.co/iS1KPtcKfL;;Apucarana, Brasil;2017-09-30 11:29:50;-1
__maribernardes;Vcs jÃ¡ assistiram o bts da semana????? Bruno Henrique falando parece que ta MORRENDO;;Apucarana, Brasil;2017-09-30 11:32:14;-1
dudaspaulo;@vitthegreen @gabriellamrno @IsaBaquette Ih o meu foi faz tempo eim;;Apucarana, Brasil;2017-09-30 12:07:36;0
Petronio_C;Jogos da Juventude Josefina em SantuÃ¡rio SÃ£o JosÃ© Apucarana https://t.co/x6yNQhRF5Y;{u'type': u'Point', u'coordinates': [-51.44919082, -23.55334399]};Apucarana, Brasil;2017-09-30 12:19:37;-1
CCA_CARLAO;https://t.co/84ggUqze3A;;Apucarana, Brasil;2017-09-30 12:19:53;0
CCA_CARLAO;Hj tem mais https://t.co/2XgBh67o0K;;Apucarana, Brasil;2017-09-30 12:20:36;0
TalithaAbdo;Bom diaaaaa sabaderaaaa;;Apucarana, Brasil;2017-09-30 12:37:05;0
TalithaAbdo;Tem umas pessoas q perdem a oportunidade de ficarem quietas nÃ©, SOCORRO ð;;Apucarana, Brasil;2017-09-30 12:37:55;-1
amndolvr;"ontem eu acordei e pensei ""bom dia q seja louquÃ­ssimo"" e foi louquÃ­ssimo obrigada deus por isso";;Apucarana, Brasil;2017-09-30 12:45:55;1
yuriigoor;Hoje tem rave, ihu sorta nois rs;;Apucarana, Brasil;2017-09-30 12:49:15;0
yuriigoor;https://t.co/pxXxG1nFMU;;Apucarana, Brasil;2017-09-30 12:51:05;0
yuriigoor;Baguio loco tiu kkkk;;Apucarana, Brasil;2017-09-30 12:51:14;-1
__maribernardes;Nossa mas tomara q atÃ© a noite esteja uns 30Âº rsrs;;Apucarana, Brasil;2017-09-30 12:55:20;0
yuriigoor;Quase lÃ¡ uhuu https://t.co/BOXx26bVaj;;Apucarana, Brasil;2017-09-30 12:59:36;-1
ilgweb;@ge_saopaulo Deixa hudson lÃ¡ e traz FÃ¡bio goleiro kkkk;;Apucarana, Brasil;2017-09-30 13:00:05;-1
__maribernardes;Cada dia um choro diferente por se importar TANTO.;;Apucarana, Brasil;2017-09-30 13:25:17;0
__maribernardes;E mesmo longe eu nÃ£o deixei de te amar, e as diferenÃ§as vamo deixar p lÃ¡, eu to aqui agora e cadÃª vocÃª??;;Apucarana, Brasil;2017-09-30 13:49:16;-1
dudaspaulo;BrÃ³colis Ã© melhor que muita gnt por aÃ­;;Apucarana, Brasil;2017-09-30 13:57:47;1
dudaspaulo;DEUS ME DIBRE https://t.co/y4cHZ8dLQu;;Apucarana, Brasil;2017-09-30 14:00:35;0
CCA_CARLAO;@Estadao MÃ¡ interpretaÃ§Ã£o Ã© achar que este jornal teria bom senso, deixando de seguir vcs!!!;;Apucarana, Brasil;2017-09-30 14:00:45;-1
dudaspaulo;Tem dias que meu irmÃ£o acorda jÃ¡ pedindo pra apanhar;;Apucarana, Brasil;2017-09-30 14:06:39;-1
MeuMeninaoLS_PR;BOM DIA BEBEZINEOOOO @luansantana #MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe;;Apucarana, Brasil;2017-09-30 14:18:57;0
MeuMeninaoLS_PR;"VAMO ACORDA ESSE PREDIOOOOO
#MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe";;Apucarana, Brasil;2017-09-30 14:19:14;-1
MeuMeninaoLS_PR;"FAZE INVEJA PRO POVOOOO
#MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe";;Apucarana, Brasil;2017-09-30 14:19:27;-1
MeuMeninaoLS_PR;ENQUANTO ELES TAO INDO INDO TRABALHA #MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe;;Apucarana, Brasil;2017-09-30 14:19:41;-1
MeuMeninaoLS_PR;"A GNT FAZ AMOR GOSTOSO DNV 
#MPN #LuanSantana #AcordandoOPredio #AcordandoOPredioClipe";;Apucarana, Brasil;2017-09-30 14:19:55;-1
