user;tweet;coordenada;cidade;horario;sentiment
marianinhooo;I'm at AÃ´Ã´Ã´ Buteco in Guarapuava https://t.co/mYZEX0Xnqm;{u'type': u'Point', u'coordinates': [-51.48356636, -25.38185444]};Guarapuava, Brasil;2017-09-30 04:03:55;1
Anaalice00;Um dia te encontro nessas suas voltas ð¶;;Guarapuava, Brasil;2017-09-30 04:04:46;0
gabiifelchak;Eu to muito indignada com o estado daqueles cachorrinhos, me desculpem! https://t.co/pZd5RMKDfA;;Guarapuava, Brasil;2017-09-30 04:07:41;0
DaiaraSouzar;Entrevistamos hoje no estÃºdio da rÃ¡dio universitÃ¡ria, Unicentro FM, a cantora nativista Berenice Azambuja. https://t.co/vGtIrWpNYF;;Guarapuava, Brasil;2017-09-30 04:08:12;-1
Jakeluuz;Vo bebe atÃ© cai hj;;Guarapuava, Brasil;2017-09-30 04:19:15;0
gabiifelchak;Como alguÃ©m pode maltratar um bichinho desses? https://t.co/MFOATEbNL8;;Guarapuava, Brasil;2017-09-30 04:20:31;0
KauaneSinhuri;TÃ´ entediada dentro desse Ã´nibus ð;;Guarapuava, Brasil;2017-09-30 04:22:46;-1
masoqlora;Outubro chegando e com ela o vestibular da campo, e eu pensando se fiz o certo em ter escolhido Adm;;Guarapuava, Brasil;2017-09-30 04:25:29;0
badsteh;â£â£â£ https://t.co/6cySPVy3uf;;Guarapuava, Brasil;2017-09-30 04:33:52;0
tiagolechinski;A gi Ã© bem profeta no Twitter;;Guarapuava, Brasil;2017-09-30 04:47:02;1
opssmai;Igual a eu nem o google achaaa pprt;{u'type': u'Point', u'coordinates': [-51.5143106, -25.4043654]};Guarapuava, Brasil;2017-09-30 04:54:43;0
badsteh;Eu KKKKJ https://t.co/zpZqiVSm26;;Guarapuava, Brasil;2017-09-30 04:56:50;0
mfsiqueirx;Sexta feira e eu me encontro em casa de tpm na bad e ouvindo projota, que fase hein;;Guarapuava, Brasil;2017-09-30 04:57:12;0
guibisz;âtalvez vocÃª ainda tenha um amanhÃ£.â;;Guarapuava, Brasil;2017-09-30 04:57:41;0
mfsiqueirx;"Um dia falei pro @poxajian ir atentar o nego mola, e o lazarento salvou meu contato como ""nego mola""";;Guarapuava, Brasil;2017-09-30 04:58:07;-1
daelucaas;cara, terminei de assistir okja e cheguei em muitas conclusÃµes;;Guarapuava, Brasil;2017-09-30 04:58:57;-1
mfsiqueirx;Acho que sou a Ãºnica adolescente desse mundo que nÃ£o faz questÃ£o de sair no fim de semana;;Guarapuava, Brasil;2017-09-30 05:01:09;0
daelucaas;eu no 4 bimestre https://t.co/dg7BiQ8sV0;;Guarapuava, Brasil;2017-09-30 05:02:26;0
mfsiqueirx;O paia de conversar com gente de outra cidade/estado Ã© que vocÃª tem que ficar explicando as gÃ­rias que cÃª usa;;Guarapuava, Brasil;2017-09-30 05:07:07;-1
mfsiqueirx;SÃ³ o meu tt que ainda nÃ£o atualizou pra 280 caracteres? https://t.co/YJEOlPQYV1;;Guarapuava, Brasil;2017-09-30 05:10:57;0
mfsiqueirx;I feel so alone on a friday night;;Guarapuava, Brasil;2017-09-30 05:12:25;-1
ThuanyBarbosa_;eu tava triste demais e uma simples mensagem mudou isso;;Guarapuava, Brasil;2017-09-30 05:15:28;-1
ThuanyBarbosa_;aquela criatura Ã© um anjo na minha vida;;Guarapuava, Brasil;2017-09-30 05:15:52;-1
daelucaas;eta nois;;Guarapuava, Brasil;2017-09-30 05:41:01;0
daelucaas;chega manteiga derreti https://t.co/gD3YdItpqd;;Guarapuava, Brasil;2017-09-30 05:41:32;0
daelucaas;queria star no panca;;Guarapuava, Brasil;2017-09-30 05:43:18;0
