user;tweet;coordenada;cidade;horario;sentiment
beyonsad;como q eu vou dormir sabendo q to cheio de serie atrasada?;;Umuarama, Brasil;2017-09-30 03:56:20;0
Guih_Souza;Que saudade que eu estava de vocÃª e do seu abraÃ§o;;Umuarama, Brasil;2017-09-30 04:03:31;0
DaiZago;Mano que droga, minha mÃ£e vai continuar na Unipar;;Umuarama, Brasil;2017-09-30 04:05:32;-1
DaiZago;NÃ£o vou pro RJ merda;;Umuarama, Brasil;2017-09-30 04:05:49;-1
cami_halat;Nossa, mas eu jÃ¡ tomei no cu de novo;;Campo Largo, Brasil;2017-09-30 04:13:44;-1
CayoZanatto;Estranho, sair sem ter que dizer nada a ninguÃ©m alÃ©m de sua mÃ£e;;Umuarama, Brasil;2017-09-30 04:14:47;-1
CayoZanatto;Estranho, nÃ£o ter um anel no meu anelar;;Umuarama, Brasil;2017-09-30 04:15:08;-1
igoor_godoi;Isso Ã© muito difÃ­cil, n vou aguentar fazer nÃ£o;;Umuarama, Brasil;2017-09-30 04:15:10;-1
CayoZanatto;Estranho, entrar no WhatsApp e sÃ³ ter chats de amigos;;Umuarama, Brasil;2017-09-30 04:15:39;-1
CayoZanatto;E pela primeira vez, eu sou 100% apenas comigo mesmo.;;Umuarama, Brasil;2017-09-30 04:19:02;-1
DaiZago;@duda_galbiati talvez heuhehuhejuuherjj;;Umuarama, Brasil;2017-09-30 04:28:55;0
Igoord12;Foda ver minha mÃ£e falando da histÃ³ria do meu padrasto sendo que ela fez igual;;Campo Largo, Brasil;2017-09-30 04:30:13;-1
Reisgui17;Role massa;;Umuarama, Brasil;2017-09-30 04:36:41;0
anabelsouza;https://t.co/SU972jZsOC;;Umuarama, Brasil;2017-09-30 04:46:12;0
anabelsouza;Ana Gabriela - Quem de NÃ³s Dois (cover) Ana Carolina https://t.co/SU972jZsOC via @youtube;;Umuarama, Brasil;2017-09-30 04:46:58;0
anabelsouza;https://t.co/SU972jZsOC sou viciada na voz dessa menina;;Umuarama, Brasil;2017-09-30 04:48:47;-1
olokoooo_maah;Aii como eu odeio quando a pessoa tÃ¡ trabalhando, ganhando o dinheiro e ainda por cima reclama;;Campo Largo, Brasil;2017-09-30 04:48:48;-1
olokoooo_maah;01:57 o que estou fazendo acordada?;;Campo Largo, Brasil;2017-09-30 04:59:28;-1
CayoZanatto;O pia tÃ¡ loco de roacutan;;Umuarama, Brasil;2017-09-30 05:15:37;-1
emersonpfvr;Eu nÃ£o acredito que estou acordado em plena madrugada (2hrs) assistindo Naruto. CadÃª minha carteirinha de otaku?;;Umuarama, Brasil;2017-09-30 05:22:07;-1
emersonpfvr;Assistir Naruto me da vontade de agredir alguÃ©m;;Umuarama, Brasil;2017-09-30 05:25:31;-1
emersonpfvr;Respirar me da vontade de agredir alguÃ©m;;Umuarama, Brasil;2017-09-30 05:25:47;-1
emersonpfvr;Quando eu fecho as pÃ¡lpebras no ato de piscar, me da vontade de agredir alguÃ©m;;Umuarama, Brasil;2017-09-30 05:26:40;-1
emersonpfvr;Na verdade, eu sempre tenho vontade de agredir alguÃ©m, mas se eu partir pra agressÃ£o vou passar vergonha, pois vou chorar muito (???) Pois Ã©;;Umuarama, Brasil;2017-09-30 05:27:38;-1
emersonpfvr;@clara_angeloni Por exemplo: agora mesmo eu poderia estar agredindo alguÃ©m..;;Umuarama, Brasil;2017-09-30 05:28:48;-1
lehfariaa_;Eu to muito feliz, Deus o Senhor Ã© incrÃ­vel;;Umuarama, Brasil;2017-09-30 05:32:12;1
emersonpfvr;"@clara_angeloni E eu chorei muito no seu pensamento?
Pois as lÃ¡grimas escorre sÃ³ de aumentar o tom comigo. Eu tenhoâ¦ https://t.co/0VieXyBXE8";;Umuarama, Brasil;2017-09-30 05:33:51;-1
emersonpfvr;"Acordado de madrugada hein?? kkkj
Nem parece que o relÃ³gio biolÃ³gico vai me acordar Ã s 8hr da manhÃ£.

Se fode otÃ¡rio kkkkkkjjj";;Umuarama, Brasil;2017-09-30 05:39:52;0
emersonpfvr;"@clara_angeloni Morrer Ã© bom GÃª, depende o ponto de vista

S A D B O Y S";;Umuarama, Brasil;2017-09-30 05:43:53;1
maattosbruno;Sexta sendo sexta;;Umuarama, Brasil;2017-09-30 05:50:46;-1
maattosbruno;Dia mais chato do fds kakaka;;Umuarama, Brasil;2017-09-30 05:50:58;1
JoiceehCAP;â£ (@ Schuebel's House) https://t.co/eVESX31LSf;{u'type': u'Point', u'coordinates': [-49.55346003, -25.45094794]};Campo Largo, Brasil;2017-09-30 05:54:43;0
emersonpfvr;@MILEYRETWEETS Fechou demais;;Umuarama, Brasil;2017-09-30 06:03:24;0
emersonpfvr;"Eu tÃ´ bv de novo

B: bem
V: virgem";;Umuarama, Brasil;2017-09-30 06:12:59;1
maattosbruno;âï¸;;Umuarama, Brasil;2017-09-30 06:21:05;0
emersonpfvr;Ã isto, jÃ¡ falei bastante merda por  hoje. Boa noite;;Umuarama, Brasil;2017-09-30 06:28:15;-1
CayoZanatto;E eu desistiria da eternidade para tocÃ¡-la;;Umuarama, Brasil;2017-09-30 06:46:05;0
CayoZanatto;Pois sei que vocÃª me sente de alguma forma;;Umuarama, Brasil;2017-09-30 06:46:24;0
CayoZanatto;VocÃª Ã© o mais prÃ³ximo do paraÃ­so que chegarei;;Umuarama, Brasil;2017-09-30 06:46:38;-1
_emypaula;Estar com uma boa companhia faz o role valer muitooooo;;Umuarama, Brasil;2017-09-30 07:03:30;0
_emypaula;To morrendo de dor de cabeÃ§a;;Umuarama, Brasil;2017-09-30 07:03:53;0
xxxganja;bolando aquele beck zika da madru;;Umuarama, Brasil;2017-09-30 07:26:29;0
xxxganja;domineiiii no baseado;;Umuarama, Brasil;2017-09-30 07:29:47;0
xxxganja;atÃ© quando eu saio pra fumar a minha gatinha sai atras aonde vou ela me segue lkkkkkk;;Umuarama, Brasil;2017-09-30 07:34:23;0
xxxganja;fogo na babilonia;;Umuarama, Brasil;2017-09-30 07:35:00;0
xxxganja;@Hectomorfo ððð legalizeeee kkkkk;;Umuarama, Brasil;2017-09-30 07:39:19;0
xxxganja;@Hectomorfo pode deixa cmg kkkkkkkkk;;Umuarama, Brasil;2017-09-30 07:41:14;0
xxxganja;fui;;Umuarama, Brasil;2017-09-30 07:41:27;0
xxxganja;na paz de jÃ¡h com a mente feita;;Umuarama, Brasil;2017-09-30 08:07:05;0
meeninalua;Tive um sonho horrÃ­vel;;Umuarama, Brasil;2017-09-30 09:51:05;-1
guaximim2;I'm at Campo Largo in PR https://t.co/JFoHr8ePWA;{u'type': u'Point', u'coordinates': [-49.52735574, -25.45681107]};Campo Largo, Brasil;2017-09-30 09:54:28;0
guaximim2;I'm at Futuragro https://t.co/QbbCRwwMCd;{u'type': u'Point', u'coordinates': [-49.527874, -25.450655]};Campo Largo, Brasil;2017-09-30 10:03:29;0
marcopaganini;"Eu tÃ´ ansioso 
AlguÃ©m me ajuda";;Umuarama, Brasil;2017-09-30 10:36:07;0
Igoord12;Caralho lesk, bebi pra krai ontem e to bem, nem sinto mais;;Campo Largo, Brasil;2017-09-30 11:04:55;1
carlalemesI;"Fernando &amp; Sorocaba - Bom Rapaz ft. Jorge &amp; Mateus https://t.co/nbNVXrcYUl via @YouTube bad day";;Umuarama, Brasil;2017-09-30 11:17:12;0
SamuelOleriano;Vou chegat no trampo hoje e tomar logo um cafÃ©zÃ£o;;Umuarama, Brasil;2017-09-30 11:19:20;-1
ParomaCunha;Que fome;;Umuarama, Brasil;2017-09-30 11:41:48;0
furlanannaa;acordei cedo e atoa ainda por cima https://t.co/beFWzww2oc;;Umuarama, Brasil;2017-09-30 11:53:22;0
