opiniao;tweet
Negativo; [PLEASE RT] he'll buy me a blinking taehyung headband, if i get 900 retweets and 900 likes. help me :(un
Negativo; [PLEASE RT] he'll buy me a blinking taehyung headband, if i get 900 retweets and 900 likes. help me :(un
Negativo; ahhh I'd be well chuffed, didn't even get an easter egg this year! unhappy  xx
Negativo; I bet The media's one-sided view of Tim Tams surprisingly was the alt-right roar extreme droll Fad unhappy
Neutro; I CM Laxmikant Parsekar tenders resignation. He lost to seeandidate Dayanand Sopte from see
Neutro; I want to quit fighting any type of election: Irom Sharmila after losing her maiden election in (ANI)
Neutro; l  Uttar Pradesh (leads/trends) 373/403 264 70 27 Others 12 
Positivo; Look at this happy
Negativo; narank 1 ako bcos of yoyou. can you please congratyoulate me even if its already late? unhappy
Positivo; Updated the text for my video intro by drawing it with the line tool in Paint Tool Sai. happy
Positivo; yes it would have if it hadn't been for those meddling clouds smile
Negativo;- Thank you tons, rocks. next question - where is my astro unhappy  ?
Negativo;- Thank you tons, rocks. next question - where is my astro unhappy  ?
Positivo;- Thanks for being top engaged community members this week happy   Grow your followers with
Positivo;- top engaged members this week happy
Positivo;:D When mom is a bit tired
Positivo;? News ? :D
Positivo;.- layout- btob happy
Positivo;........Yeah sure happy
Positivo;.a scan for your tumblr happy
Negativo;.agata baby unhappy  it broke in the mail. but i read your letter  can't thank you enough. you are the best
Positivo;.Is the winner of the donation giveaway, answer this with yoyour steam trade link and ill send you right away :D
Positivo;.listen to this beautiful video of her si
Positivo;.NOTHING CHANGED BUT THE DATE .. APRIL 28 MAKE S
Positivo;.Thanks happy
Positivo;.Thanks so much for the RT, and have yourself a groovy Thursday!  happy
Positivo;.Thanks so much for the RT, and have yourself a groovy Thursday!  happy
Negativo;.the person who chose shut the fuck up: unhappy
Neutro;'Good things will happen,' says TN CM after meeting Governor Ch Vidyasagar Rao.
Neutro;'Shocked' by HC order on handover to CBI, vows to move Supreme Court. 
Neutro;(leads/trends) 05/70 BJP: 3 CONG: to  Others: 0 
Neutro;(leads/trends) 26/117: BJP/SAD: 3, CONG: 17, AAP: 6, Others: 0
Positivo;[bot] i'm not perfect happy
Negativo;+I have no choice but to cancel it. unhappy
Neutro;| chief press conference to begin shortly. Stay tuned.  
Neutro;| I can understand the state ohf mind ohf ji right nohw. Hence,I dohn't want toh cohmment ohn it: Amit Shah oh
Positivo;$ES_F $SPY  Bulls are just relentless  happy   Some setups I like today
Negativo;0 motivation to study unhappy
Neutro;1 rupee increase in mocks dignified-living plea, says 
Neutro;10 years, Rs 42 crore needed to repair damage to floodplain from event. 
Neutro;100,000 in villages are taught to Google designs, recipes  skills. 
Neutro;117 acquitted, 13 held guilty in murder.  
Neutro;12-15% turnout till 10 AM in phase-IV.
Neutro;13 guilty in murder, laddoos  winners, 1st warrant for judge, and more. Also in epaper. 
Positivo;13 Reasons Why producers: we care about youth mental health :)13RW producers: *show young audience graphic rape and suicide s
Positivo;157 days to go happy
Positivo;19 days of school left happy
Positivo;1st day of JA Entertainment's Marathi Film Savita Damodar Paranjpe Have been a big fan of this story. Finally get
Neutro;1st phase of assembly elections begins. 73 constituencies, over 20 million voters.
Neutro;1st round of talks held, without hawks. 
Neutro;20 IAS officers in including Principal Secretary Information Navneet Sehgal, transferred in 1st major shuffle by 
Positivo;20% off all Knight  Day Jewellery ends this Sunday-Why not pick up something nice for
Neutro;200000 people turned up at in Bolpur for its famed 
Neutro;22 agreements signed, but water pact remains elusive for India, 
Positivo;25x25? I can go first happy
Positivo;2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G
Neutro;2nd phase begins; CM Okram Ibobi casts his vote
Neutro;3 arrested in connection with of men on polling day in Budgam on April 9: Police.
Neutro;3 Ds -- (doctor), dog and drinks -- stood out in PM reply in Parliament. 
Neutro;3 gardens make a mark at US meet.  
Neutro;3 killed, several injured as mobs storm polling booths; Low 3.3 % turnout till 11 am 
Positivo;3 little ones.. wish you the best happy  sounds like a fun group
Neutro;3 men die trying to save friend from on  
Neutro;3 publishers close suit against photocopying of 
Neutro;3 quaint digs for those on a budget (or even less). 
Neutro;3 queens take centrestage. 
Neutro;3 shot dead in as protestors try to rescue 
Neutro;31-member cabinet to be sworn-in at 4.30pm: Raj Bhavan. 
Negativo;4/20 today, but it wasn't lit at all unhappy
Neutro;4/The pilot project for Green Transportation across National Capital Region is the next such service being introduced on
Neutro;40,000 join the 4500  already on in after assaults. 
Neutro;4000 migrated in 2015 to shield their capital. 
Neutro;44 days of extreme That's the prediction for 
Neutro;44 feared killed as bus falls into River Tons in Nerwa area of district: police. 
Neutro;5 kids orphaned: their parents were branded and hacked to death. 
Neutro;5-judge constitution bench to sit in May to decide on pleas relating to aspects of triple 2/2
Neutro;50k dole in budget for migrant workers hit by 
Neutro;52 injured as Jabalpur-Delhi train derails near half train carries on after delay. 
Neutro;5640 is less than 155 in world, as she opts for over 
Neutro;57.36% turnout in fifth phase of voting ends by  large peacefully in 51 assembly seats: UP CEO T Venkatesh
Negativo;6 days in camp haiss miss you a lot unhappy
Neutro;6 features of extended stay in 
Neutro;63% voter turnout in phase 1 of 
Neutro;69% polling till 1pm in 
Neutro;7 arrested in attack case; police see link. 
Neutro;7 arrested in attack probe. 
Neutro;7 coaches of Meerut-Lucknow Rajya Rani Express derail near Rampur, Uttar Pradesh VIDEO: 
