pt;eng;es
serviao;service;Servicio
pior;worse;peor
merda;shit;mierda
operadora;operator;operador
lixo;trash;basura
vivoon;vivoon;vivoon
anatel;anatel;anatel
bosta;they will;ellos van a
ligaaao;ligaaao;ligaaao
desde;since;ya que
vivoblog;vivoblog;vivoblog
porcaria;filth;inmundicia
cu;with;con
mentira;lie;mentira
vida;lifetime;toda la vida
passimo;passimo;passimo
absurdo;absurd;absurdo
linha;line;línea
velox;velox;Español
porra;Cum;cómo
falta;lack;ausencia
maas;maas;malla
jeito;way;camino
tentando;trying;molesto
consumidor;consumer;consumidor
espera;wait;Espere
contas;accounts;cuentas
sistema;system;sistema
pqp;pqp;pqp
consegue;can;poder
so;so;asi que
qualidade;quality;calidad
vergonha;shame;vergüenza
logo;logo;logo
semana;week;semana
gerente;manager;gerente
esperar;wait;Espere
resolve;resolve;resolver
simplesmente;simply;simplemente
puta;times;veces
existe;exists;existe
protocolo;protocol;protocolo
coisas;stuff;cosas
odeio;I hate;odio
pura;pure;puro
perder;to lose;perder
sacanagem;slutty;cachonda
affs;affs;affs
motivo;reason;razón
tomar;drink;beber
